combination,speed,repeatability mean,repeatability std,total num keypoints,total num matches,num dropped keypoints,num dropped matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,correct matches per sequence: avg,size mean,size std,size normalized std,size min,size max,size correct: avg,size correct/all ratio,distance correct/all ratio,response correct/all ratio,distinctiveness correct/all ratio,match rank: avg,match rank correct: avg,ratio rank >50 / all,ratio rank >50 correct / rank >50,Matching distance mAP illumination,Matching distance mAP viewpoint,Matching average_response mAP illumination,Matching average_response mAP viewpoint,Matching distinctiveness mAP illumination,Matching distinctiveness mAP viewpoint,distance-distinctiveness correlation,distance-average response correlation
GFTT+SIFT,0,0.5163234782608696,0.20073988288131994,343877,271893,1123,15607,148443,97778,0.35961940910578793,0.6586905411504753,850.2434782608696,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.5970331230758319,1.0616124129416609,1.8236003547635797,6.235493374231775,0.26676757552823743,0.03494021545240223,0.0003170447339892409,0.8715837856016175,0.7400320012386158,0.5495804260774273,0.39284698624484055,0.8936051906956938,0.7759332199164092,0.6581711151993188,0.05855303613610478
GFTT+SHIFT,0,0.42250086956521743,0.1907533064255698,345000,271250,0,16250,121469,59657,0.21993364055299539,0.49112942396825526,518.7565217391304,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.5886774735049412,1.0432302254618337,1.0234015876927585,8.008678341013825,0.48986707343647856,0.04475576036866359,0.0009386995658514507,0.782711470172038,0.5781720320092344,0.36605017156700737,0.24037210939902698,0.8065995083411056,0.61286894750859,0.8605215212285209,0.09798750369506466
SIFT+SIFT,0,0.45168919601198193,0.17528948241755726,340725,264976,4275,22524,128747,75879,0.28636178370871324,0.5893651890917847,659.8173913043478,5.6596699346606645,7.694360013394206,1.359506844431474,1.7983146905899048,439.5990753173828,6.190787333625761,1.093842468747595,0.5370511010342537,1.0064734147550305,1.9624110693162764,6.023096431374917,0.18472831745278667,0.03235387355836,0.0004217240606755492,0.7505365194626091,0.8162784848801945,0.36267964800712066,0.3811049261523458,0.826267480674615,0.8793438666286063,0.5952811146774151,0.05007782222113594
SHIFT+SIFT,0,0.5162191304347825,0.20077723926765081,343885,271853,1115,15647,148413,97740,0.35953254148381664,0.6585676456914151,849.9130434782609,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.5969999159587335,1.0626381741379898,1.8241378285650744,6.244131938952301,0.26617556783302637,0.034996854917915196,0.00031716799672600775,0.8714147329069083,0.739940560869118,0.5501813056085042,0.39214518990707165,0.8934831354156402,0.7754442241339073,0.6578640092990483,0.059210136278336524
SHIFT+SHIFT,0,0.422504347826087,0.19088579667539635,345000,271265,0,16235,121470,59680,0.2200062669345474,0.49131472791635794,518.9565217391304,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.5882941099181215,1.044991841649389,1.0234149383000035,8.022170202569443,0.4947553619302949,0.044856505631025015,0.0009383378016085791,0.7833914754618719,0.577227744487072,0.3672951278558144,0.2400629651439992,0.80750058078569,0.6114086547413442,0.8603847478828873,0.09746149858544666
GFTT+SHIFT_V,0,0.5163234782608696,0.20073988288131994,343877,270811,1123,16689,148443,94741,0.34984177156762464,0.6382315097377445,823.8347826086956,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.6213983615794069,1.0564525254223813,1.0215753744387357,7.217664718198301,0.29013837726010916,0.043092784266517976,0.0003905384152584414,0.8611223544655829,0.7020663053416513,0.5438513359191303,0.3762248460471561,0.8857274718069392,0.7244713832102699,0.8635707990758279,0.0727923485112143
SHIFT_V+SIFT,0,0.5162191304347825,0.20077723926765081,343885,271853,1115,15647,148413,97740,0.35953254148381664,0.6585676456914151,849.9130434782609,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.5969999159587335,1.0626381741379898,1.8241378285650744,6.244131938952301,0.26617556783302637,0.034996854917915196,0.00031716799672600775,0.8714147329069083,0.739940560869118,0.5501813056085042,0.39214518990707165,0.8934831354156402,0.7754442241339073,0.6578640092990483,0.059210136278336524
SHIFT_V+SHIFT_V,0,0.5162191304347825,0.20077723926765081,343885,270812,1115,16688,148413,94717,0.34975185737707337,0.6381988100772843,823.6260869565217,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.6212345822492686,1.0576222648144666,1.021586223623332,7.226921259028403,0.2902224521469219,0.04303723616383321,0.00040119513920415555,0.8612013770994472,0.7018239492698137,0.5448414621145347,0.3758374582072299,0.8859735855820777,0.7240613079367021,0.8629643918799633,0.0729294713127072
GFTT+SHIFT_V_B,0,0.5163234782608696,0.20073988288131994,343877,270811,1123,16689,148443,94741,0.34984177156762464,0.6382315097377445,823.8347826086956,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.6213983615794069,1.0564525254223813,1.0215753744387357,7.217664718198301,0.29013837726010916,0.043092784266517976,0.0003905384152584414,0.8611223544655829,0.7020663053416513,0.5438513359191303,0.3762248460471561,0.8857274718069392,0.7244713832102699,0.8635707990758279,0.0727923485112143
SHIFT_V_B+SIFT,0,0.5162191304347825,0.20077723926765081,343885,271853,1115,15647,148413,97740,0.35953254148381664,0.6585676456914151,849.9130434782609,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.5969999159587335,1.0626381741379898,1.8241378285650744,6.244131938952301,0.26617556783302637,0.034996854917915196,0.00031716799672600775,0.8714147329069083,0.739940560869118,0.5501813056085042,0.39214518990707165,0.8934831354156402,0.7754442241339073,0.6578640092990483,0.059210136278336524
