combination,cm_total: mean,cm_total: std,rep_total: mean,rep_total: std,total num matches,num possible correct matches,total correct matches,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,Verification distance mAP,Verification average_response mAP,Verification distinctiveness mAP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval distinctiveness mAP,distance-distinctiveness correlation
SIFT48+SIFT+0.05,42.810344827586206,43.080500788140284,0.22351476361618958,0.223867764495077,93960,24830,16970,0.4316831633567375,0.23908036411064773,0.44366131083863736,0.3666319740535094,0.03358800166290145,0.3540152346257558,0.6583930856155056,0.4142683347664832,0.6409297569257567,0.6789779888107207
SIFT48+SIFT+0.10,40.33275862068965,43.11293864487676,0.21078331027668393,0.22387287955389898,93960,23393,16828,0.4298255757275353,0.237175634970903,0.44007235546096674,0.3672669334880686,0.034243873126386506,0.3538093320724016,0.6216202997379883,0.42507823877785156,0.6216764418017166,0.6663992978484519
SIFT48+SIFT+0.15,38.5551724137931,42.864365766408824,0.20159736907461245,0.22248452267480998,93960,22362,16670,0.42822580119999887,0.2354225002863149,0.4382597143921003,0.3676723386554527,0.03480974040311168,0.3536189209325801,0.6126762411404363,0.43472182964308564,0.5923661574402871,0.6683068415376896
SIFT48+SIFT+0.20,37.063793103448276,42.68357189540605,0.1938279409900443,0.22131646982020955,93960,21497,16516,0.42734936005069624,0.23335946300047222,0.4370240060128228,0.36837463149883726,0.035080055520493515,0.3544388679901175,0.592502360747362,0.4419713680295981,0.5848381779303857,0.6571450349161871
SIFT48+SIFT+0.25,35.77413793103448,42.28604180049711,0.18723830326027824,0.21934528112977814,93960,20749,16302,0.424584171817934,0.23083718360785657,0.4339582565166627,0.3678796446675551,0.035100129503794694,0.35463147529488326,0.5700060424250638,0.43940757563007715,0.5430921375572968,0.6527641266614961
SIFT48+SIFT+0.30,34.57931034482758,41.846051017166154,0.18108208408473309,0.2171350949457623,93960,20056,16074,0.4216508349124919,0.22824928645373765,0.43094086359922273,0.36678413170970925,0.035701843951050125,0.35457558801721234,0.5449111038675177,0.43690580978859833,0.5336512022657033,0.6410125436186177
SIFT48+SIFT+0.35,33.35689655172414,41.3171735692063,0.174815960899454,0.21452438008613434,93960,19347,15748,0.4182539972628815,0.22394579728451036,0.42585468040024155,0.3666874883514212,0.03582465670088844,0.35197679941335513,0.5583215567525247,0.4397265088865005,0.536186445201205,0.6297270443462153
SIFT48+SIFT+0.40,32.3448275862069,40.99501724311599,0.16963469078716814,0.21298804040140631,93960,18760,15455,0.41518083298342295,0.2208775455129751,0.4216335972025657,0.36666616025271503,0.03560028738974319,0.3512159544380045,0.5273927283555545,0.4289969341936181,0.5137549850830246,0.6182326650522064
SIFT48+SIFT+0.45,31.208620689655174,40.42860366929864,0.16368614537425014,0.20989220338391482,93960,18101,15117,0.4116856466176002,0.21816390205554548,0.41655020518829666,0.3647212383622558,0.03663545046621555,0.34994962256037143,0.5322851160645136,0.4335730703701501,0.5128969721742329,0.6144821072982628
SIFT48+SIFT+0.50,29.879310344827587,39.69829214871058,0.15677635439052007,0.20609079329499197,93960,17330,14690,0.4070072657720924,0.21288813783882005,0.41116587981975045,0.36213450708192424,0.036665786049254086,0.3481922188830544,0.5283736103065378,0.4393845041700129,0.5090665033724909,0.6057877678070053
SIFT48+SIFT+0.55,28.632758620689657,38.92718174485418,0.150263512157789,0.20199452965843315,93960,16607,14241,0.4010850823685722,0.20815097006168787,0.4051875398393924,0.3600412263042893,0.03600311560757475,0.3466448543573188,0.50676998508674,0.4268598540000582,0.49434415542422505,0.6058273976420443
SIFT48+SIFT+0.60,27.301724137931036,38.09421619317263,0.1432223187216451,0.1973365902008201,93960,15835,13737,0.39312194694630886,0.20337180832241972,0.39644384047850467,0.35559227435942586,0.03706290428063898,0.3429347580815411,0.5075947251889366,0.44224487693045295,0.49890859799074566,0.6021273718754232
SIFT48+SIFT+0.65,25.51206896551724,36.866369019539995,0.13386696892820008,0.19080937204063134,93960,14797,13024,0.3811431474515621,0.19610138461507462,0.3836746655092945,0.34865398534869213,0.037257656398695896,0.3353385856220429,0.496906110821903,0.43044273624526874,0.4876931721969123,0.6026519619297448
SIFT48+SIFT+0.70,23.47758620689655,35.39707538621999,0.12312773640395597,0.18293898642014672,93960,13617,12124,0.36808855767210424,0.1886395578344579,0.3682297451212647,0.3405652411832351,0.0405667205168853,0.3273510373497521,0.4856764008290599,0.4212866535999011,0.4767907679429272,0.5858808541240546
SIFT48+SIFT+0.75,20.970689655172414,33.3741718668829,0.10996673281926551,0.17224960786400387,93960,12163,11014,0.3477594892054176,0.1749642632631797,0.34748117216832675,0.32682681903565863,0.03828179179440749,0.31386657721240024,0.48627558358956213,0.4250872663823762,0.4771426317095109,0.5873728967545334
SIFT48+SIFT+0.80,17.853448275862068,30.718761623730874,0.09340514889955298,0.15809204324499213,93960,10355,9555,0.32661612422928477,0.1534316985062972,0.3175914188122591,0.3106130798801848,0.03800635094792856,0.2897444473791643,0.4878527124812848,0.42803074278815895,0.48060631568100953,0.553569902839398
