combination,speed,cm_total: mean,cm_total: std,rep_total: mean,rep_total: std,total num matches,num possible correct matches,total correct matches,Matching distance mAP,Matching average_response mAP,Matching average_ratio mAP,Verification distance mAP,Verification average_response mAP,Verification average_ratio mAP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval average_ratio mAP
AKAZE+AKAZE,0.15016658390827772,50.182758620689654,45.57617018730003,0.2069086795413924,0.1911897240861908,141281,29106,9352,0.32883603291198527,0.09219463572821288,0.3508668499141208,0.28577002083903913,0.025968409626846285,0.28634334733931227,0.4582653344400474,0.24947724808981203,0.450062852780696
AKAZE+ORB,0.08133545488499817,50.70862068965517,45.24320785176702,0.20901071428571433,0.1897526951548685,141251,29411,2967,0.10186978251835546,0.03884717888970099,0.11235258658015967,0.09245408705324984,0.009857363088204939,0.09757847579307703,0.30189975129896934,0.11043032241137613,0.3236717611109856
AKAZE+SIFT,0.106497521407953,50.58620689655172,45.15026042723175,0.20829615315152608,0.1887514385375611,141281,29340,10882,0.3070904213358072,0.10493956087569448,0.3521102927354787,0.2700347722439784,0.028457087346711627,0.296243350255756,0.48368550772229324,0.3078330680071065,0.483710875756823
AKAZE+BRIEF,0.08020375043099778,50.758620689655174,45.585694347371586,0.20915554794392582,0.19080141149374352,141281,29440,6253,0.27070577764428133,0.06820334437130225,0.2768374028585472,0.2190377459849708,0.0200841711870446,0.2071266620436412,0.40754080437455564,0.18353233288698195,0.3876609217713414
FAST+ORB,0.018839788793156495,41.105172413793106,32.90772324406848,0.16442068965517243,0.13163089297627392,145000,23841,1032,0.03005877392219496,0.010823168340878028,0.040697810774297065,0.023134611673263618,0.006453447259321002,0.0333210494396506,0.14981999139082022,0.07383663062562087,0.18885999264108833
FAST+SIFT,0.10597914324712658,38.70172413793104,30.901997432256874,0.15480689655172417,0.12360798972902749,145000,22447,11231,0.27007371567083327,0.09689516715963001,0.32937799559267766,0.27672176397997716,0.03411069685847848,0.2864865296333384,0.5455108453225407,0.4537144258261145,0.5428505725240019
FAST+BRIEF,0.03516105143671144,40.79137931034483,32.948281230263554,0.16316551724137932,0.13179312492105422,145000,23659,499,0.031124086617204685,0.009830233578754469,0.03361991765193281,0.026062087456599103,0.002837515665825504,0.023168165702142078,0.12385063074567353,0.060045726885489044,0.11846883778649593
GFTT+ORB,0.030013610057523336,55.86896551724138,49.56187427537891,0.22347586206896555,0.19824749710151565,144953,32404,1167,0.02829804643208744,0.05962468970963657,0.03157175686021709,0.027927015838396494,0.02186314144006484,0.034702256697514464,0.15547361576666877,0.12449805008793216,0.22273583963753027
GFTT+SIFT,0.04474905704021161,55.31896551724138,48.07845584220883,0.22127586206896552,0.19231382336883532,145000,32085,12421,0.3287364213840574,0.11402734221571574,0.36176699117817657,0.2940971807403567,0.03493258818385136,0.2895075583764527,0.5394582679557653,0.34862373061625873,0.517704090915981
GFTT+BRIEF,0.029021244252885218,56.063793103448276,48.87306993552493,0.22425517241379309,0.19549227974209973,144981,32517,737,0.030916874529995718,0.04079296212338814,0.03144979463463355,0.027812919017649086,0.011872580164081258,0.027087133055720573,0.10685308284511055,0.08507155206806317,0.11585019061100715
KAZE+KAZE,0.8820288543105165,46.31206896551724,40.493901531423504,0.18936498300145702,0.1686854161066814,142668,26861,8078,0.29125723778487933,0.07122631813913757,0.3240785993201181,0.2569444635561531,0.022482699661605564,0.2604011440026495,0.46549780871381014,0.27052654549162986,0.4613276869976413
KAZE+ORB,0.4977324783047612,46.987931034482756,42.4027267242381,0.19252883460422432,0.17681149394946005,141969,27253,1225,0.036599258263233736,0.012065330536755582,0.04198985482409339,0.037612509540357976,0.0035251958166617543,0.04558693233892635,0.18229418588663446,0.07295937842603877,0.23616237985621374
KAZE+SIFT,0.5289786795975624,46.09137931034483,40.4702137571051,0.18857015541525016,0.16899480185292254,142668,26733,10382,0.3097447584084723,0.09672935782904467,0.3460872849316979,0.28450398146690714,0.030072076338949566,0.2847062458770288,0.5250003347998178,0.35402302710542066,0.5243905423718329
KAZE+BRIEF,0.4934528709769208,47.394827586206894,42.245354457574805,0.1940147250698975,0.17582028253706308,142077,27489,900,0.03784559711796596,0.010936081137802702,0.03945642823814162,0.04023811458035159,0.007519762416208873,0.03781683210832952,0.16971625916872382,0.04544585539557778,0.16477365066428634
ORB+ORB,0.013080125718292477,57.23103448275862,60.95435037767467,0.22892413793103444,0.24381740151069867,145000,33194,14675,0.348899022960273,0.122021476611041,0.3483651082474317,0.2800072786297808,0.03548733373916196,0.24900550849779782,0.47069199354102226,0.25718880967182234,0.45520633966627133
ORB+SIFT,0.045366378304617226,56.78793103448276,60.52333427919438,0.22715172413793103,0.2420933371167775,145000,32937,15776,0.3298668987807932,0.13863412119066218,0.31589432151560376,0.3036000614744305,0.03820647794430035,0.2541290107074479,0.5089104307902774,0.32461696289164754,0.511898521667963
ORB+BRIEF,0.009604478160828624,56.93793103448276,60.88697507390572,0.22775172413793104,0.24354790029562287,145000,33024,11648,0.31476362540035413,0.09664037780550405,0.27417057610706164,0.2641247359103723,0.02785645417201354,0.19606903822847582,0.4131037046750063,0.19147785098312423,0.35462275517955005
SIFT+SIFT,0.24847251235597917,41.608620689655176,35.7542897570143,0.16643448275862072,0.14301715902805717,144822,24133,3713,0.2107972398800399,0.0403220708730966,0.29041204490886957,0.20064177755161128,0.017668840538855528,0.2537161031565586,0.409103276490896,0.17638101100295778,0.41828992090849015
SIFT+BRIEF,0.1431358132183792,43.512068965517244,36.36668889569991,0.1742529317619671,0.1458676863029612,144616,25237,1018,0.05196977269515348,0.015466185077532522,0.05285228654951658,0.05235457710598878,0.004361034455938838,0.048265876266554285,0.1860347127910518,0.05843369455224633,0.16265408387851168
