combination,speed,repeatability mean,repeatability std,total num matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,size mean,size std,size normalized std,size min,size max,size unique count,size correct: avg,size correct/all ratio,total num keypoints,correct matches per sequence: avg,correct matches per sequence: std,distance correct/all ratio,response correct/all ratio,distinctiveness all: avg,distinctiveness correct: avg,distinctiveness correct/all ratio,match rank: avg,match rank: std,match rank correct: avg,match rank correct: std,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,Verification distance AP,Verification average_response AP,Verification distinctiveness AP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval distinctiveness mAP,distance-distinctiveness correlation
AGAST+BRISK,7.774173938709449,0.37615304347826084,0.2083770601251237,271207,108144,56280,0.20751676763505367,0.5204172214824678,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,345000,489.39130434782606,332.79004206601303,0.6082369870538165,1.0131025826192865,0.319617228576009,0.7788918926387335,2.4369521508866447,3.908483188118301,8.128096435404053,0.18315565031982942,1.2691324115782379,0.041024014866872904,0.0005152807391613362,0.6676384109296604,0.30029824934994326,0.7117700479727227,0.6060793138073991,0.0817956923591926,0.6948905588836198,0.9009235071319076,0.6451687094537845,0.9005043304344275,0.70120141541621
AGAST+ORB,31.498492144922118,0.3773391304347826,0.20739720709857049,270542,108485,76605,0.28315381715223514,0.7061344886389823,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,345000,666.1304347826087,399.4941262394366,0.5676944424984327,1.0310196557109796,0.21965637019531195,0.5459570439115444,2.4855051707632954,4.178589645969942,8.398679298182103,0.20616147771033222,1.5455703901321827,0.044880277369133074,0.0008876705175902357,0.6651376931162613,0.4009117786727273,0.7813632797940332,0.5885303203207413,0.11987099771156776,0.7766214641391233,0.8893786329560355,0.7991879236169778,0.9346784549219176,0.5651513486175076
AGAST+SIFT,7.629444075529648,0.3759965217391304,0.20955610224448656,258704,108099,91181,0.3524529964747356,0.843495314480245,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,345000,792.8782608695652,412.03187187455984,0.5634224135978069,1.0456619593418577,0.5037790873027379,0.9311384140557232,1.8483070010728146,4.529292164017565,9.37682755270846,0.11699805880611092,1.1899191284981994,0.05718891087884223,0.0006141630383522883,0.8268667783489208,0.4739385740138264,0.8320587756651544,0.8090301178312959,0.1503236615097479,0.7838002221598076,0.9707298691189861,0.9123476868710338,0.9726671508744023,0.5727679313268
AGAST+SIFT_SIGMA_5,1.959553149147557,0.3759965217391304,0.20955610224448656,264970,108099,82744,0.31227686153149414,0.765446488866687,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,345000,719.5130434782609,392.14017824635755,0.5488552704605776,1.046196150709062,0.5161329731924351,0.9274645720016643,1.7969488875415605,3.7214099709401065,8.203696373566153,0.1356593831576912,1.1995409837885267,0.04097067592557648,0.0005680170163395533,0.782540638796805,0.426596570555358,0.7906274091871357,0.7662052461563552,0.13823477833536119,0.7017313995640856,0.9518316642359924,0.8650483300127474,0.9479967143329652,0.5832034090297422
AGAST+SIFT_SIGMA_10,1.4471304362882658,0.3759965217391304,0.20955610224448656,260776,108099,66233,0.2539842623554315,0.6127068705538442,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,345000,575.9391304347826,355.10684949148134,0.5309384377635781,1.0446967902760702,0.4947266752918566,0.9010040694211756,1.8212158640720995,3.851025401110532,8.33379418540066,0.19334772696390018,1.4577113759938367,0.04207825873546645,0.0008304017634713813,0.6718025061563502,0.3518300042135878,0.6777216903134723,0.6545060402641151,0.11806024154128676,0.5392599565203811,0.8927067994865648,0.7481591453583978,0.8802309088643427,0.5133482608067705
AGAST+BRIEF,4.555733868663809,0.37751304347826087,0.20772135035928557,268516,108535,79799,0.29718527015149937,0.7352374809969134,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,345000,693.9043478260869,391.22294264352854,0.5390753521377781,1.0342951321918015,0.23376758631835418,0.5470416883810189,2.3401092383955886,3.867311445128037,8.11819873359181,0.15876138798731815,1.2629541642167386,0.0408765213246138,0.0005639168410631712,0.7226323476955256,0.41629844262817134,0.7956851686947247,0.6805929388871456,0.12695616788543615,0.7716595478011898,0.9275480391801272,0.8366954647514457,0.9462427567204906,0.616211356864827
AKAZE+AKAZE,4.125670481978762,0.45547757226068925,0.2136864616840323,255767,122923,81490,0.3186102976537239,0.6629353335014603,9.231133532011322,4.730256591084329,0.5124242407155039,4.800000190734863,64.58084869384766,112,9.531110467084538,1.0324962188048705,327462,708.6086956521739,337.7922102649645,0.559968385322861,1.0249302202047628,0.40667243407415044,0.8480299450070949,2.0852899630085813,3.2386664425043103,7.345623788168159,0.10277334642287397,0.837915132834592,0.031735915892198756,0.00017180022088599827,0.8517412904623322,0.4075285476758457,0.8667837372993534,0.780871576598871,0.09887717545592899,0.8043523263115563,0.9782792084384215,0.7903878362075055,0.9767177389476304,0.7298574834323487
AKAZE+BRISK,4.1414158589973455,0.45547757226068925,0.2136864616840323,246674,122923,71831,0.2911980995159603,0.5843576873327205,9.191078755102767,4.730917020199069,0.5147292441132142,4.800000190734863,64.58084869384766,114,9.599281133865036,1.0444128909825345,327462,624.6173913043478,342.97994826947803,0.6286816777065876,0.9951760137373159,0.3226691769381351,0.7117710203460667,2.2058847612907675,3.8633905478485775,8.069742531448645,0.2578552435577954,1.6368533711091118,0.03998800035674615,0.0009745096128412524,0.7571784359372986,0.3655408702433721,0.7988184904169114,0.6379611497406177,0.07498396900192819,0.6664466488557818,0.9217992538452964,0.6658208646847545,0.9421809300871538,0.6719787536189631
AKAZE+ORB,11.674567077232576,0.45555442482804626,0.21367019636174162,250439,122873,66613,0.2659849304621085,0.5421288647628039,9.252000507231829,4.874911708331962,0.5269035280014831,4.800000190734863,64.58084869384766,107,9.27188062585526,1.0021487373036666,327336,579.2434782608696,346.8749828999127,0.6171314027398141,0.9852424570108471,0.1881291059661443,0.45490843172005724,2.4180651334298187,3.7140581139519004,7.734341966981419,0.25511536787113626,1.499866483774017,0.03634417962058625,0.0008857129989641661,0.6931793180071657,0.3352475307494054,0.7472337757135935,0.5800837611180643,0.07126877247551557,0.6468686242252821,0.8659842699678443,0.6475632556324928,0.9112424888574435,0.6671808866807508
AKAZE+SIFT,8.867758400078428,0.45547757226068925,0.2136864616840323,245867,122923,89356,0.363432262157996,0.7269266125948765,9.284942114368743,4.882882945456206,0.5258926641987126,4.800000190734863,64.58084869384766,115,9.55891656234178,1.029507394294796,327462,777.008695652174,343.6415092518763,0.5802135877332618,1.0317260583201544,0.5038646710374368,0.925314577378129,1.836434722587206,3.9415252961967244,8.487791321960469,0.1248936836921975,1.1217673137488844,0.04448746680115672,0.00045883880209499084,0.8695476308244018,0.4552134836029625,0.8745540965418441,0.7895654299270684,0.10548906656236688,0.789191173079862,0.9855906440139002,0.8500224852691091,0.9760062320006939,0.6184867303773085
AKAZE+SIFT_SIGMA_5,5.591810690490219,0.45547757226068925,0.2136864616840323,250014,122923,82705,0.33080147511739344,0.6728195699746996,9.251428480952486,4.780135979506447,0.5166916643573627,4.800000190734863,64.58084869384766,118,9.561814054333812,1.0335500159808153,327462,719.1739130434783,337.6144510833922,0.5882340362183412,1.0345242318217356,0.5150908143705064,0.9179795180158101,1.7821702356266533,3.6612349708416327,8.072085167356724,0.13753702920016928,1.0872271842436478,0.039317798203300613,0.0004473731938818693,0.8085719482658614,0.4190523147629753,0.8272196157653033,0.6674878118637987,0.09994011665374646,0.6992216242349186,0.9555761114135013,0.7808949487049507,0.9384896968038723,0.5625311713923107
AKAZE+SIFT_SIGMA_10,4.0000742135408975,0.45547757226068925,0.2136864616840323,249296,122923,67239,0.26971551890122586,0.5470009680857122,9.23396239441906,4.677627800369999,0.5065677767105835,4.800000190734863,64.58084869384766,113,9.559017677813758,1.035202145028353,327462,584.6869565217391,313.5556358708761,0.5864408045401104,1.0326869934028422,0.502614930827349,0.8873230157906099,1.76541316496507,3.618690231692446,8.033511895391536,0.20510418060946772,1.3477580955987318,0.03911815672934985,0.0005948928449263076,0.6691512951135088,0.3457162310087289,0.7061643734855549,0.49773282320820417,0.08448795251320056,0.5058623110527143,0.8625646004015564,0.6596447910690643,0.8464134907400983,0.47246180171687113
AKAZE+BRIEF,11.488633050678402,0.45547757226068925,0.2136864616840323,247530,122923,84205,0.3401809881630509,0.6850223310527729,9.254782105628752,4.879239189950845,0.5272127570657007,4.800000190734863,64.58084869384766,109,9.108820088190999,0.9842284760708759,327462,732.2173913043479,398.3180896809832,0.5368257611340082,1.0318057953949582,0.21566543651050596,0.44204201388316927,2.0496655423115775,3.769777400719105,8.014978429521125,0.26142153078795793,1.4464054364018684,0.03967599886882398,0.0007362983195772222,0.7338444123996436,0.4324077314334372,0.7621490780763674,0.6944717308214956,0.1002809699010083,0.6354106420862254,0.9086804615574136,0.7913022666762541,0.9238072743011105,0.5440325379334612
BRISK+BRISK,5.91654053324159,0.44452102495670787,0.1894318245974727,264832,124898,74468,0.281189584340261,0.5962305241076719,21.201124604843617,11.203122354623334,0.5284211363044329,8.399999618530273,72.0,247675,22.271243416636153,1.0504746248955141,338095,647.5478260869565,337.18580204980424,0.6081180488812937,1.014303955143119,0.34555662534608506,0.771780316990984,2.233440948261442,3.7249388291445142,7.81982128412173,0.21646881882150723,1.3056052107879144,0.03708388714354761,0.0004968577106945265,0.8168262376779375,0.3901488919492209,0.8240067425825671,0.7364403799086305,0.10772488876268632,0.7394640811565842,0.9533697078862009,0.7244094954622969,0.9474313230458223,0.6925110759941796
BRISK+ORB,11.770721975762164,0.4460274059906915,0.18893250992074,266283,125162,64854,0.24355291175178287,0.5181604640386059,21.341191819156958,11.356518147921843,0.5321407653403708,8.399999618530273,72.0,248864,22.11435964741517,1.0362288964369917,337835,563.9478260869565,323.2695427625108,0.6314297322964781,1.0056107730643566,0.19597224345405723,0.5032815872038469,2.5681268853863672,3.4918751854230274,7.412980810320484,0.22926881919388165,1.392269926290065,0.032867287810337126,0.0006784469732013446,0.7357044180735374,0.34107014801780994,0.7850322523782652,0.6312856482645943,0.09075098797819985,0.7050627857694094,0.8929502615770697,0.6521885234141087,0.9157336647384618,0.8053262974638757
BRISK+SIFT,5.393030607639096,0.44452102495670787,0.1894318245974727,252374,124898,80558,0.31920086855222807,0.6449903120946693,20.898199303991134,11.803643875502836,0.5648163128221568,8.399999618530273,72.0,235294,21.812958563098327,1.0437721569117437,338095,700.5043478260869,337.23021098129345,0.638844875394441,1.019183534142478,0.4133740374957823,0.8423983131181199,2.037859750992985,5.371813261270971,9.95420472199452,0.2823183296506865,1.6963436546998425,0.0671978888475041,0.0012537550584671914,0.8125089618946226,0.41951326179555004,0.8167545185519959,0.7373502171332476,0.12348872244587558,0.7087138798324409,0.9638073368803248,0.7927627709926729,0.9629932925828596,0.5916963632196596
BRISK+SIFT_SIGMA_5,4.325984184622765,0.44452102495670787,0.1894318245974727,259857,124898,72780,0.2800771193387132,0.5827154958446092,21.11027686320309,11.814754541544463,0.5596683841763597,8.399999618530273,72.0,241998,20.514134523756525,0.9717605627197771,338095,632.8695652173913,321.06294985466036,0.6241699546894992,1.022966991963168,0.4523228709788219,0.8566062449613008,1.8937937918275367,4.104684499551676,8.51236410635047,0.25702115965924704,1.4654403029457934,0.045244115032498644,0.0007144820005496015,0.7671813070528998,0.37696855698148507,0.7556588543943521,0.6599048744005946,0.11116927248595795,0.5873117508138145,0.9166194159266792,0.7257229871079804,0.9083393880001666,0.587526252599643
