combination,speed [images/second],repeatability: mean [%],repeatability std,total number of matches,number of possible correct matches,total number of correct matches,ratio correct/total matches,ratio correct/possible correct matches, keypoint size: mean [pixels],size std,size normalized std,size min,size max,size unique count,size correct: avg,keypoint size correct/all ratio,total number of keypoints,correct matches per sequence: mean,correct matches per sequence: std,distance correct/all ratio,response correct/all ratio,distinctiveness all: avg,distinctiveness correct: avg,distinctiveness correct/all ratio,match rank: avg,match rank: std,match rank correct: avg,match rank correct: std,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP [%],Matching average response mAP [%],Matching distinctiveness mAP [%],Verification distance AP [%],Verification average response AP [%],Verification distinctiveness AP [%],Retrieval distance mAP [%],Retrieval average response mAP [%],Retrieval distinctiveness mAP [%],distance-to-distinctiveness correlation,distance-to-average response correlation
AGAST+BRISK,0,0.37615304347826084,0.2083770601251237,271207,108144,56280,0.20751676763505367,0.5204172214824678,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,345000,489.39130434782606,332.79004206601303,0.6082369870538165,1.0131025826192865,0.319617228576009,0.7788918926387335,2.4369521508866447,3.908483188118301,8.128096435404053,0.18315565031982942,1.2691324115782379,0.041024014866872904,0.0005152807391613362,0.6676384109296604,0.30029824934994326,0.7117700479727227,0.6062205731342644,0.08175561069062239,0.6949997405707912,0.9097541308208575,0.6628977185890071,0.90286727999952,0.70120141541621,0.043492951976823936
AGAST+ORB,0,0.3773391304347826,0.20739720709857049,270542,108485,76605,0.28315381715223514,0.7061344886389823,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,345000,666.1304347826087,399.4941262394366,0.5676944424984327,1.0310196557109796,0.21965637019531195,0.5459570439115444,2.4855051707632954,4.178589645969942,8.398679298182103,0.20616147771033222,1.5455703901321827,0.044880277369133074,0.0008876705175902357,0.6651376931162613,0.4009117786727273,0.7813632797940332,0.5879309023904985,0.11996142750350106,0.776472724239552,0.8995176043460035,0.8116738221196269,0.9392293779904302,0.5651513486175076,0.01481699712481913
AGAST+SIFT,0,0.3759965217391304,0.20955610224448656,258704,108099,91181,0.3524529964747356,0.843495314480245,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,345000,792.8782608695652,412.03187187455984,0.5634224135978069,1.0456619593418577,0.5037790873027379,0.9311384140557232,1.8483070010728146,4.529292164017565,9.37682755270846,0.11699805880611092,1.1899191284981994,0.05718891087884223,0.0006141630383522883,0.8268667783489208,0.4739385740138264,0.8320587756651544,0.8098377115903376,0.15066948259080593,0.7833918647991844,0.9728818805675727,0.9151953950767778,0.9742421011929497,0.5727679313268,0.02427985971063842
AGAST+BRIEF,0,0.37751304347826087,0.20772135035928557,268516,108535,79799,0.29718527015149937,0.7352374809969134,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,345000,693.9043478260869,391.22294264352854,0.5390753521377781,1.0342951321918015,0.23376758631835418,0.5470416883810189,2.3401092383955886,3.867311445128037,8.11819873359181,0.15876138798731815,1.2629541642167386,0.0408765213246138,0.0005639168410631712,0.7226323476955256,0.41629844262817134,0.7956851686947247,0.6817454050860237,0.12683033164047064,0.7718548276112541,0.9333365006921869,0.8450101033796255,0.9530801501045985,0.616211356864827,0.015202137345858195
AGAST+DAISY,0,0.3759965217391304,0.20955610224448656,239699,108099,73779,0.30779853065719925,0.6825132517414593,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,345000,641.5565217391304,368.4179382713003,0.6166687071419529,1.0554927458982344,0.02008976637733112,0.020173675748047605,1.0041767220753333,5.180559785397519,10.090508886600393,0.37922715135743235,2.6542866937598157,0.06878209754734062,0.00356469998237981,0.66760636645042,0.41891472839989685,0.7452959716824794,0.44019654283191645,0.12722059147703318,0.4435166778887748,0.9281241596073673,0.8641460317739823,0.9605698341805752,0.4436228109707985,-0.13166633636529546
AGAST+FREAK,0,0.3767965217391304,0.20784699720893557,266322,108329,55981,0.21020043406102387,0.516768363042214,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,345000,486.7913043478261,317.3957753109754,0.6038972167672235,1.0113405504106754,0.29970355723029213,0.714109543477943,2.382719611596807,4.136413814855701,8.426472860003802,0.25689073078365876,1.616048283344437,0.045140844541569976,0.0009288865865204266,0.6206685460868123,0.29946794830685425,0.679358858154465,0.5484474515155071,0.08047490758121868,0.61189501587057,0.8926200868567027,0.6588978915952153,0.9005264145208666,0.6002849160496879,0.035935233474615434
AKAZE+AKAZE,0,0.45547757226068925,0.2136864616840323,255767,122923,81490,0.3186102976537239,0.6629353335014603,9.231133532011322,4.730256591084329,0.5124242407155039,4.800000190734863,64.58084869384766,112,9.531110467084538,1.0324962188048705,327462,708.6086956521739,337.7922102649645,0.559968385322861,1.0249302202047628,0.40667243407415044,0.8480299450070949,2.0852899630085813,3.2386664425043103,7.345623788168159,0.10277334642287397,0.837915132834592,0.031735915892198756,0.00017180022088599827,0.8517412904623322,0.4075285476758457,0.8667837372993534,0.7802333176203496,0.09906889102922926,0.8038269516771697,0.9764654326735291,0.7828017906529192,0.9771747906417786,0.7298574834323487,-0.044317449660333186
AKAZE+BRISK,0,0.45547757226068925,0.2136864616840323,246674,122923,71831,0.2911980995159603,0.5843576873327205,9.191078755102767,4.730917020199069,0.5147292441132142,4.800000190734863,64.58084869384766,114,9.599281133865036,1.0444128909825345,327462,624.6173913043478,342.97994826947803,0.6286816777065876,0.9951760137373159,0.3226691769381351,0.7117710203460667,2.2058847612907675,3.8633905478485775,8.069742531448645,0.2578552435577954,1.6368533711091118,0.03998800035674615,0.0009745096128412524,0.7571784359372986,0.3655408702433721,0.7988184904169114,0.6382206510181555,0.07494833061892528,0.6676994702647863,0.9241469621530749,0.6602180875528324,0.9426633483725883,0.6719787536189631,0.06976912572334126
AKAZE+ORB,0,0.45555442482804626,0.21367019636174162,250439,122873,66613,0.2659849304621085,0.5421288647628039,9.252000507231829,4.874911708331962,0.5269035280014831,4.800000190734863,64.58084869384766,107,9.27188062585526,1.0021487373036666,327336,579.2434782608696,346.8749828999127,0.6171314027398141,0.9852424570108471,0.1881291059661443,0.45490843172005724,2.4180651334298187,3.7140581139519004,7.734341966981419,0.25511536787113626,1.499866483774017,0.03634417962058625,0.0008857129989641661,0.6931793180071657,0.3352475307494054,0.7472337757135935,0.5794926317690648,0.07137782147438113,0.6455503896499744,0.8711735142124711,0.6400741724402412,0.9142448800771285,0.6671808866807508,0.058581744092579706
AKAZE+SIFT,0,0.45547757226068925,0.2136864616840323,245867,122923,89356,0.363432262157996,0.7269266125948765,9.284942114368743,4.882882945456206,0.5258926641987126,4.800000190734863,64.58084869384766,115,9.55891656234178,1.029507394294796,327462,777.008695652174,343.6415092518763,0.5802135877332618,1.0317260583201544,0.5038646710374368,0.925314577378129,1.836434722587206,3.9415252961967244,8.487791321960469,0.1248936836921975,1.1217673137488844,0.04448746680115672,0.00045883880209499084,0.8695476308244018,0.4552134836029625,0.8745540965418441,0.79044951558087,0.10553141151454974,0.789914116013794,0.9860048288110862,0.8416709959221084,0.9769287549436733,0.6184867303773085,-0.023287900414324176
