combination,speed
AGAST+BRISK,8.910926157493336
AGAST+ORB,35.33038541470378
AGAST+SIFT,10.825944828871428
AGAST+BRIEF,24.131864988473644
AGAST+FREAK,12.11440466646049
AKAZE+AKAZE,7.355977382711789
AKAZE+BRISK,11.166794629540416
AKAZE+KAZE,2.859621834291277
AKAZE+ORB,13.10042817443839
AKAZE+SIFT,9.96560271097756
AKAZE+BRIEF,12.902327553600653
AKAZE+FREAK,11.996834379969924
BRISK+BRISK,9.074447732110212
BRISK+ORB,13.435429094039899
BRISK+SIFT,7.057356126329235
BRISK+BRIEF,12.963232275074025
BRISK+FREAK,10.638546203196404
FAST+BRISK,10.469646618790389
FAST+ORB,61.09346030500572
FAST+SIFT,12.585191647346644
FAST+BRIEF,34.428853292248064
FAST+FREAK,14.874075622065874
GFTT+BRISK,34.14159062875957
GFTT+ORB,42.79446305663098
GFTT+SIFT,25.508358290533128
GFTT+BRIEF,41.361238402501705
GFTT+FREAK,37.832158953996945
KAZE+BRISK,2.5818858135545963
KAZE+KAZE,1.5452439026682732
KAZE+ORB,2.6840484210705258
KAZE+SIFT,2.536393710728207
KAZE+BRIEF,2.687243657288755
KAZE+FREAK,2.632319612046497
MSER+BRISK,2.690800970630839
MSER+ORB,2.739352785823722
MSER+SIFT,1.969938892939413
MSER+BRIEF,2.727600008011968
MSER+FREAK,2.7168243341728147
ORB+BRISK,81.98381145609522
ORB+ORB,82.13985218836972
ORB+SIFT,17.751082072356986
ORB+BRIEF,107.68081813286894
ORB+FREAK,103.13774774532803
SIFT+BRISK,7.248881581147676
SIFT+SIFT,4.80131797273191
SIFT+BRIEF,8.569771039248808
SIFT+FREAK,7.79614211920815
SIFT SIG 3.2+BRISK,5.11550816322623
SIFT SIG 3.2+SIFT SIG 3.2,2.8343359277018787
SIFT SIG 3.2+BRIEF,5.392920854964991
SIFT SIG 3.2+FREAK,5.187602673765172
