combination,speed,repeatability mean,repeatability std,total num matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,size mean,size std,size normalized std,size min,size max,size correct: avg,size correct/all ratio,total num keypoints,correct matches per sequence: avg,distance correct/all ratio,response correct/all ratio,distinctiveness correct/all ratio,match rank: avg,match rank correct: avg,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,distance-distinctiveness correlation,distance-average response correlation
AKAZE+AKAZE,0,0.5472353056498666,0.20124358959555916,255793,147901,89190,0.3486803782746205,0.6030385190093374,9.231217869049717,4.730085255620183,0.5124009987326958,4.800000190734863,64.58084869384766,9.32271463335035,1.0099116677342652,327462,775.5652173913044,0.5824520578903857,1.0238870503700472,2.0284753796750787,3.2392403232301117,0.15899764547595022,0.03176787480501812,0.00045969279067159996,0.877547234505688,0.43640165046563867,0.8898209273765484,0.744849533657629,-0.0264407954070157
AKAZE+BRISK,0,0.5472353056498666,0.20124358959555916,246624,147901,77113,0.31267435448293757,0.521382546433087,9.190037977589899,4.7289974138357715,0.5145786584742665,4.800000190734863,64.58084869384766,9.43394105383372,1.0265399421458958,327462,670.5478260869565,0.6421795876605042,0.9977805338349026,2.1508537852109386,3.846985694822888,0.32850492134918885,0.03966767224601012,0.0015042859180682893,0.7785972860589431,0.38548744061967744,0.8158927730937897,0.6820174451291571,0.07599410596652231
AKAZE+ORB,0,0.5471601103082269,0.20140029168034468,250428,147812,73964,0.2953503601833661,0.5003923903336671,9.251231094171892,4.874707516901138,0.5269252780824073,4.800000190734863,64.58084869384766,9.131300242742332,0.9870362279129408,327336,643.1652173913044,0.6379011177191904,0.9886144025728772,2.3119433310860162,3.716373568450812,0.3315531880374236,0.036457584615138885,0.0011356876318208858,0.7272102636553877,0.36437747265477377,0.7788240795308147,0.6812050524717851,0.06574274107573094
AKAZE+SIFT,0,0.5472353056498666,0.20124358959555916,245855,147901,98513,0.4006955319192207,0.6660739278301026,9.285014779809526,4.883022140042253,0.525903539826398,4.800000190734863,64.58084869384766,9.341784759019559,1.006114150656333,327462,856.6347826086957,0.6104879480678698,1.0287423662539765,1.7922656891028728,3.940871651989994,0.2036888532477947,0.04450997539199935,0.0009643397318120451,0.8923066696790204,0.4890220928926212,0.8988817364556473,0.6451249769219817,-0.0005259168016316188
BRISK+BRISK,0,0.5049902659173222,0.19249238277122227,264869,142080,76177,0.2876025506948718,0.5361556869369369,21.198972528413204,11.201377643468737,0.5283924788550678,8.399999618530273,72.0,22.054821324510886,1.0403721828947408,338093,662.408695652174,0.6163123228743724,1.01391475511523,2.2022620565866773,3.73784021535174,0.2690575895611536,0.03749400647112346,0.0009320398545492734,0.8162609660500824,0.39719066222340743,0.8205195281683942,0.702699181956066,0.052496856229905076
BRISK+ORB,0,0.5062227202496739,0.192331666822276,266263,142269,68442,0.25704660429725495,0.4810745840625857,21.34487808734013,11.362952625881194,0.5323503174572207,8.399999618530273,72.0,22.074254384433356,1.0341710219242632,337833,595.1478260869566,0.644409483466076,1.0040131600458184,2.490175779337931,3.4920961605630523,0.2923497267759563,0.032850978168202115,0.0009643201542912247,0.7438241640285195,0.35687645259663103,0.7858005237623189,0.8147232557662153,0.06059110275941884
BRISK+SIFT,0,0.5049902659173222,0.19249238277122227,252376,142080,85304,0.33800361365581516,0.6003941441441442,20.898311490505762,11.804654066933265,0.5648616191933112,8.399999618530273,72.0,20.56921038325884,0.9842522632799098,338093,741.7739130434783,0.6510843011579146,1.021379885792531,1.9862687741473495,5.372170887881573,0.3693261746225265,0.06720131866738517,0.0016646347181843758,0.8243528011742012,0.4365337238716778,0.8162413017971003,0.6081112835631827,0.0499659326593197
FAST+BRISK,0,0.5202365217391304,0.18841050387520966,270630,149568,62770,0.2319402874773676,0.41967533162173726,7.0,0.0,0.0,7.0,7.0,7.0,1.0,345000,545.8260869565217,0.6254234782024152,1.0175425727447958,2.350944040339759,3.90505856704726,0.27576867930540067,0.041277759302368544,0.0011311135892942488,0.6870051717085004,0.32500981375004934,0.7267959655388752,0.7229527497433738,0.042432131982063914
FAST+ORB,0,0.5220347826086956,0.18665028589571658,269479,150085,86798,0.3220955992860297,0.5783256154845587,7.0,0.0,0.0,7.0,7.0,7.0,1.0,345000,754.7652173913043,0.5928147234259007,1.031918328473696,2.328962536590701,4.275602180503861,0.34868314938132217,0.04658247952530624,0.0016935874098481531,0.6994615851840711,0.437439099277409,0.8038627673617025,0.5808640550173437,0.03548758089552026
FAST+SIFT,0,0.5185356521739131,0.18907247756455922,256637,149079,115182,0.44881291473949586,0.772623910812388,7.0,0.0,0.0,7.0,7.0,7.0,1.0,345000,1001.5826086956522,0.6436326786657186,1.0362509396378055,1.7621378515071744,4.8640803937078445,0.34985501206785785,0.06264490311217791,0.0018232015419075898,0.8686027781309299,0.5523082412590824,0.8746402347682017,0.5949721303105812,0.07745171647004796
GFTT+BRISK,0,0.5174469565217392,0.20061292225999242,271680,148766,64687,0.23809997055359247,0.43482381727007513,3.0,0.0,0.0,3.0,3.0,3.0,1.0,343603,562.4956521739131,0.6189505939111251,1.0203452646469666,2.3225141279729478,3.798019729093051,0.2677817799557871,0.038906065959952885,0.001375856045264118,0.702730627323903,0.3218268052066215,0.7403168309254106,0.7478770411467595,0.010432503761538713
GFTT+ORB,0,0.5198191304347826,0.2000340718350152,266497,149448,89526,0.3359362394323388,0.5990444837000161,3.0,0.0,0.0,3.0,3.0,3.0,1.0,343171,778.4869565217391,0.5950176612042698,1.0513014484154908,2.277364021131226,4.334622903822557,0.3465808815316221,0.048101854805119755,0.002010589102607064,0.7105283763851356,0.43596466768368036,0.8075749371079027,0.5833319321791307,0.012406346499873412
GFTT+SIFT,0,0.5163304347826086,0.20074150030148033,263605,148445,97746,0.3708048026403141,0.6584660985550204,3.0,0.0,0.0,3.0,3.0,3.0,1.0,343877,849.9652173913043,0.6088536027771453,1.0606249507525922,1.768007592533651,3.9654369226683865,0.24770323082274467,0.04584510915953795,0.001012829169480081,0.8041718050900107,0.4774456502705393,0.833289871027233,0.6579278609279631,0.05879897885901468
ORB+BRISK,0,0.4767603197957794,0.21020970632031885,231980,119668,76138,0.3282093283903785,0.6362436073135675,51.89416787970301,18.03756129151057,0.34758359230894365,31.0,111.0786361694336,52.36426662806908,1.0090587973094745,299752,662.0695652173913,0.5906027350835803,1.0107948518295202,2.1326177025043007,4.2163203724459,0.4265018781685886,0.04365462539874127,0.0016548898053534373,0.8619837928973053,0.381614235446836,0.8162904350061337,0.6376102652679076,0.016119381492739265
ORB+ORB,0,0.4801144386048734,0.20940243549385232,271770,137898,81162,0.2986422342421901,0.588565461428012,53.91351410426126,18.747664894993328,0.3477359101233495,31.0,111.0786361694336,55.44773035511694,1.0284569884999282,344299,705.7565217391304,0.6164212320642836,0.984573649387109,2.3491491824026314,3.652036648636715,0.3540819595377147,0.0347278949111381,0.001429240284862374,0.8114549765455077,0.3450272133888139,0.8265736939635054,0.7681849993865841,-0.006013073180889761
ORB+SIFT,0,0.4801144386048734,0.20940243549385232,252170,137898,77361,0.3067811397073403,0.5610016098855676,52.7595778276064,22.071680316085672,0.4183445210309603,31.0,111.0786361694336,50.2427585182077,0.9522964471470472,344299,672.704347826087,0.6223323016695902,1.0348929327728154,1.9586179909477313,6.253939802514177,0.6417057690567599,0.08454217393028512,0.003477204276056411,0.7153622747742666,0.3594366721547432,0.6427412990761145,0.4626683554537484,0.1955374660932542
SIFT+BRISK,0,0.4540061600026206,0.17576874046494903,257563,129272,58269,0.22623202866871406,0.45074726158796957,5.501728250007006,7.125094228191089,1.2950647331921592,1.7983053922653198,439.6010437011719,6.198859480847808,1.1267113167285052,340059,506.68695652173915,0.5585285498180234,0.9860184031948078,2.4281840417825302,4.5966346097847905,0.31680653520740015,0.04944421364869954,0.0017676637663251473,0.7428873397817018,0.3011243728493094,0.7073306566305633,0.5494647228474802,0.03003715825325059
SIFT+SIFT,0,0.4516211565779733,0.17525217987107067,257872,128729,75832,0.2940683750077558,0.589082491124766,5.675611777118185,7.738210395924738,1.363414324271109,1.7983148097991943,439.6010437011719,6.188917915724585,1.090440671202327,340725,659.408695652174,0.5464343679001402,1.0072608269267982,1.9103317026147457,3.930775733697338,0.15274554277877414,0.043219116460879815,0.0007648486127228611,0.7847072440700059,0.3775153094690724,0.8540116449441267,0.593526277794661,0.04804103125648611
