combination,cm_total: mean,cm_total: std,rep_total: mean,rep_total: std,total num matches,num possible correct matches,total correct matches,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,Verification distance mAP,Verification average_response mAP,Verification distinctiveness mAP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval distinctiveness mAP,distance-distinctiveness correlation
KAZE+KAZE+0.20,24.075862068965517,39.176538151018605,0.12199568965517238,0.19676777726822067,92434,13964,10117,0.29390077698460604,0.13993742665405512,0.2854118279055678,0.2748775531246187,0.02837827419685743,0.2438483307272717,0.47678048891666275,0.37583193097258455,0.4773577182749066,0.7019708152706351
ORB+ORB+0.20,36.13103448275862,48.48512109807877,0.1806551724137931,0.24242560549039383,98955,20956,13642,0.3758046166422264,0.16973100428320595,0.37019993523310984,0.30467359796857596,0.030881615488735224,0.2561545906864496,0.4688566600622781,0.34849382991512134,0.4613843423696274,0.6793111939094163
SIFT+SIFT+0.20,14.291379310344828,28.820543346494322,0.07145689655172414,0.1441027167324716,94720,8289,7446,0.25640295157571075,0.10613310956596986,0.24285188712538366,0.24415484096072865,0.0270648885959633,0.21843417955630098,0.46503050295340304,0.407654171382791,0.4549091168896556,0.5447476163378829
SIFT_HIGH_SIG+SIFT_HIGH_SIG+0.20,18.051724137931036,29.838543931028205,0.10192717836248283,0.16400810795015452,92087,10470,9498,0.3207777287181729,0.16101938857510203,0.309820350411809,0.301865246136916,0.03663545003883188,0.2826146121983796,0.47821629417257266,0.41822940160261735,0.4697269752994904,0.5959114404783474
KAZE+KAZE+0.40,32.46551724137931,45.07645440774863,0.16491379310344825,0.22758347536239568,92434,18830,12965,0.35543706317823326,0.17318764132907044,0.35112281176987875,0.322947969924472,0.029408769169305134,0.28416048641270847,0.5011157097961322,0.3896097529126789,0.4907097424398938,0.7021050741222733
ORB+ORB+0.40,41.07241379310345,50.979592918869045,0.20536206896551723,0.2548979645943452,98955,23822,14466,0.3837423542910498,0.1790204765022412,0.3755744015038026,0.3007699077509876,0.03005397353132525,0.24726987141697698,0.48302299972267815,0.32541888841631855,0.4916180633233657,0.6847444515543797
SIFT+SIFT+0.40,20.182758620689654,34.220699210550585,0.10091379310344828,0.1711034960527529,94720,11706,10020,0.304455883070681,0.13586875587280894,0.31251756430604494,0.2792863893412852,0.029988487770921505,0.26958304766424535,0.47804016970769686,0.4050586141016607,0.47404280953100214,0.5709155879700549
SIFT_HIGH_SIG+SIFT_HIGH_SIG+0.40,26.013793103448275,36.14024143706856,0.14606981551483925,0.19936567606845532,92087,15088,12977,0.38733789701935034,0.20487991414858425,0.38818541506642046,0.35189396749081386,0.036338496674206126,0.3379850346772074,0.5052568857376252,0.4302234988076166,0.4904497173959405,0.6213438350545963
KAZE+KAZE+0.60,37.141379310344824,47.79096738521563,0.18877155172413793,0.24188561873903244,92434,21542,14365,0.3834170394826022,0.18871617462746126,0.3788801048225476,0.34347355158140674,0.029152077589276647,0.2977495935883957,0.5084969103741532,0.39144037239594653,0.5164895011048655,0.7269823806860507
ORB+ORB+0.60,44.90172413793103,52.04913789533923,0.2245086206896552,0.26024568947669613,98955,26043,14792,0.3848638926022665,0.18270671261620827,0.3758775767234928,0.2965993448424133,0.02893350945796204,0.24175517238143998,0.47315443897664156,0.3064925985747461,0.4800467131407928,0.6694847801906838
SIFT+SIFT+0.60,23.612068965517242,36.53004704484641,0.11806034482758619,0.18265023522423204,94720,13695,11321,0.32583960847868043,0.1537428045658677,0.34366522910519104,0.2910913785172976,0.03177185926116784,0.28600018537243543,0.4864493989234244,0.40779415438398625,0.48765956959673856,0.5513886628554149
SIFT_HIGH_SIG+SIFT_HIGH_SIG+0.60,29.95689655172414,38.69838993384682,0.16750818483348606,0.21262199442613422,92087,17375,14462,0.41043766342467164,0.21991132148362938,0.41348417556013617,0.3661632243689229,0.035480872630899246,0.3500692530050172,0.5118778612688923,0.43250942467669734,0.4947969690198752,0.6412155287087614
KAZE+KAZE+0.80,40.360344827586204,49.357556943869305,0.2050991379310345,0.2500398263090025,92434,23409,15244,0.39695958891929667,0.19821510063236794,0.3922276065772087,0.35143906611774345,0.02958389583660103,0.3021472808718206,0.5259148380225475,0.3951669672400443,0.5154741803213271,0.7279691385605616
ORB+ORB+0.80,48.313793103448276,52.862621069164,0.24156896551724136,0.26431310534582,98955,28022,15153,0.38476136113363213,0.1878292009128468,0.3763747573348148,0.29405298054289764,0.028707081238021813,0.23867638535727523,0.47630951564899615,0.290608890833716,0.48764720955469015,0.7047540587322597
SIFT+SIFT+0.80,25.751724137931035,37.7887104167155,0.12875862068965518,0.18894355208357755,94720,14936,12003,0.3350792717992887,0.16368731028755226,0.3572134923292261,0.29490682256691875,0.03238740948875532,0.29125535626441473,0.48455710641899485,0.40266675779627037,0.4780677673347846,0.5686049223235556
SIFT_HIGH_SIG+SIFT_HIGH_SIG+0.80,32.45172413793104,40.12844997040564,0.18098153901176717,0.21997596819884344,92087,18822,15257,0.42207870212890425,0.22722474235740076,0.42653776995697257,0.3733329379094029,0.035239954987435734,0.3571342743969742,0.5364024519844081,0.4432671728173465,0.5214138366731726,0.6604217860717185
KAZE+KAZE+1.00,42.796551724137935,50.36251330831379,0.21735775862068962,0.2550440107899101,92434,24822,15923,0.4059106601222778,0.20510395602080875,0.40236064368832086,0.3563267743921198,0.029113502985703536,0.3056338620636268,0.5215412929465093,0.3944554317760773,0.5153766226256544,0.7379171943141661
ORB+ORB+1.00,51.460344827586205,53.39617847508531,0.25730172413793106,0.2669808923754265,98955,29847,15500,0.3858817444233201,0.19130374129449496,0.377345771047948,0.2920540428745223,0.028560083717851195,0.23695731263552317,0.48437940834020293,0.28182679398854976,0.49951222589854394,0.653978772676307
SIFT+SIFT+1.00,27.08103448275862,38.383527164013145,0.1354051724137931,0.19191763582006574,94720,15707,12421,0.3421592605131427,0.16930677299056665,0.36638425444626904,0.2980124040328018,0.032352223479585725,0.29467602968981244,0.492318629954383,0.4015100084161335,0.4850558755380913,0.5916563878205526
SIFT_HIGH_SIG+SIFT_HIGH_SIG+1.00,34.40689655172414,40.920233011054,0.19135771605010124,0.22382891049365122,92087,19956,15762,0.42789241401074674,0.23400429534844994,0.43754483048978154,0.37419266274960666,0.0356737729851726,0.361910423531511,0.5743003569041317,0.45284568355125326,0.5549350484147106,0.6770685243674578
KAZE+KAZE+1.20,44.855172413793106,51.25012757734766,0.22772844827586203,0.25950479525369297,92434,26016,16446,0.4139412162597744,0.20983881055116088,0.41082776602156595,0.3602873548374631,0.028962138074510837,0.3069993360791422,0.5218957848945663,0.4048250657742915,0.5116107830928178,0.741881055177111
ORB+ORB+1.20,54.33448275862069,53.68874392954692,0.2716724137931035,0.2684437196477346,98955,31514,15797,0.38562999113549545,0.1943948926926185,0.3769128696371345,0.28910424913074345,0.028753532754946482,0.23280717948621688,0.4899481771308044,0.2629074446477664,0.5000950259050613,0.6989526965483803
SIFT+SIFT+1.20,28.19655172413793,38.79854230072462,0.14098275862068968,0.19399271150362313,94720,16354,12734,0.3481916046545069,0.17242167847463438,0.37390946823052523,0.30155735746054124,0.03229244993760665,0.30032113283721434,0.49964189823061983,0.39920339781308817,0.4941616030529079,0.5656315445771587
SIFT_HIGH_SIG+SIFT_HIGH_SIG+1.20,35.91034482758621,41.31855511066206,0.19941920870491098,0.22605685341325374,92087,20828,16026,0.4294982364638385,0.23672838068152213,0.43991335187506214,0.37255073241243764,0.03478099080782777,0.3616214179435045,0.5981328195528852,0.4512274120029397,0.5764758563174045,0.687701633523907
