combination,cm_total: mean,cm_total: std,rep_total: mean,rep_total: std,total num matches,num possible correct matches,total correct matches,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,Verification distance mAP,Verification average_response mAP,Verification distinctiveness mAP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval distinctiveness mAP,distance-distinctiveness correlation
AKAZE+AKAZE+0.05,8.716521739130435,22.423077903898697,0.04393096716947648,0.11212214223436517,98329,5012,4222,0.14378110402925262,0.06034356551831224,0.12926583394005173,0.14241893406627995,0.020208727009672748,0.12549548095119906,0.43626880169833165,0.3590732412798727,0.4362011404353066,0.5849038359069492
KAZE+KAZE+0.05,9.140869565217391,22.815768367521137,0.04595217391304348,0.11410433772025694,91640,5256,4174,0.1409775919600808,0.0646719562822514,0.13968161945139254,0.1367044760132246,0.020636393614566793,0.1298782698321671,0.44498560114741603,0.3636280671129444,0.44644943988553026,0.5752233205069274
ORB+ORB+0.05,21.20695652173913,35.571712556686116,0.10603478260869564,0.17785856278343062,98080,12194,7433,0.2570820666270727,0.09411273018221895,0.2468101686712716,0.22793754495079488,0.022325361640794614,0.19733878485950612,0.4546705054760036,0.33420896594833416,0.4497115284744881,0.6469770105691378
SIFT+SIFT+0.05,4.737391304347826,13.912980869424349,0.02368695652173913,0.06956490434712174,93871,2724,2608,0.14432280957365717,0.04204099145918011,0.106083711108378,0.14160921178158997,0.01687145141296384,0.10145160461826797,0.4211899600799219,0.3794409497250017,0.42165422559183346,0.4583154262128595
SIFT_HIGH_SIG+SIFT_HIGH_SIG+0.05,5.587826086956522,15.466278312487443,0.03097580384261872,0.08107373499263201,91537,3213,3108,0.1612009956578823,0.06629912151887635,0.13211878943356667,0.15781411175848392,0.030516857112382084,0.12733236760696706,0.45888933466224446,0.4159244951996072,0.45456268731891014,0.5549307966475677
AKAZE+AKAZE+0.10,16.11304347826087,33.07276962604191,0.08155669920141968,0.16544805497828127,98329,9265,7420,0.21570083116964942,0.10544896435255495,0.2068462842335905,0.20869472379013565,0.024702432475806013,0.19481989054902152,0.4539530336364335,0.3821801663439123,0.4504554883435306,0.6369314548780218
KAZE+KAZE+0.10,15.756521739130434,31.775514583278365,0.07952608695652172,0.15901498211445989,91640,9060,6889,0.21703655137198213,0.09685221113931484,0.20980696791721173,0.20742078489218277,0.024823182034961748,0.18711748814818951,0.46066705591397145,0.3659998308471451,0.4599326197744765,0.6511695489683338
ORB+ORB+0.10,30.299130434782608,44.842963668207794,0.15149565217391303,0.22421481834103896,98080,17422,11548,0.3384671264535974,0.1480295735678109,0.33459465003480227,0.2863414216499665,0.029481079841050292,0.24542588839729207,0.45389552559978386,0.3506027791667443,0.4488572462977234,0.6561034187396341
SIFT+SIFT+0.10,8.968695652173913,22.13600005192168,0.044843478260869575,0.11068000025960842,93871,5157,4798,0.1976508856091066,0.07286017123662396,0.17217772479762886,0.19154160273422374,0.02275095226893599,0.1601663450694934,0.4506364697845794,0.4038392759182658,0.44963689138111773,0.5378013802175833
SIFT_HIGH_SIG+SIFT_HIGH_SIG+0.10,10.725217391304348,22.520505992764292,0.06036991021448058,0.12166189222797082,91537,6167,5835,0.23856328068893595,0.10547491926313231,0.2148386512695041,0.2313939524766796,0.03345585896499614,0.2028343977977345,0.46491704499394304,0.41332887160530746,0.46164989999728606,0.5761967150495457
AKAZE+AKAZE+0.20,25.78608695652174,42.54921832819335,0.13150962301042,0.21417432695702787,98329,14827,11115,0.2996129363456204,0.1509841225394089,0.291748523587158,0.2841410557704365,0.028018401574109127,0.2628981023433916,0.46735526293390456,0.3795100949573801,0.46211123047631925,0.6392300091176408
KAZE+KAZE+0.20,23.671304347826087,39.04545570667801,0.11998695652173912,0.1961397844580721,91640,13611,9833,0.288784338123013,0.1363060849081691,0.28122988759987594,0.26981866840425933,0.028049221861610844,0.24069485914882796,0.46187530069665866,0.36536947927917013,0.4623401166087198,0.703687173545967
ORB+ORB+0.20,36.01913043478261,48.43736950394032,0.18009565217391302,0.2421868475197016,98080,20711,13528,0.3720451393457854,0.16956952765085495,0.3664308949666859,0.3006248417333929,0.03057304334583262,0.2509833662228548,0.46382226043115127,0.34500226596902756,0.4493619833129281,0.6754253560317329
SIFT+SIFT+0.20,13.972173913043479,28.714775920136784,0.06986086956521739,0.14357387960068393,93871,8034,7215,0.25057567342536186,0.10286053786587832,0.23788530747389472,0.23824627213426336,0.02584831364291324,0.21432763935079055,0.4591208336688541,0.398300365167972,0.4450501851994094,0.5518125303390554
SIFT_HIGH_SIG+SIFT_HIGH_SIG+0.20,18.04173913043478,29.923700022931353,0.10172228255625719,0.1643619613618715,91537,10374,9411,0.31731746584377657,0.16049130849279633,0.30702522626964046,0.29870294500861067,0.03856420359004424,0.2799107076205161,0.4723141394514905,0.4189884117223007,0.4655601544655178,0.6044839049438635
AKAZE+AKAZE+0.50,38.04,51.30095481779449,0.19490952564173034,0.2611110237785285,98329,21873,15196,0.37968005960317003,0.2008562783483809,0.37825846889169445,0.34155402826631387,0.030016695027539578,0.3157704889342823,0.4854341099450005,0.38294539840427816,0.4731305216740698,0.694871850248365
KAZE+KAZE+0.50,34.528695652173916,46.459992635492114,0.17556521739130432,0.23506961523676648,91640,19854,13408,0.36763789345718095,0.17801170269450237,0.36316325938967076,0.33225295484436196,0.02887711129766036,0.2914512771482693,0.5022206015755765,0.38028922236276025,0.4930985940508142,0.7195338918501836
ORB+ORB+0.50,42.883478260869566,51.5668446403556,0.21441739130434784,0.257834223201778,98080,24658,14523,0.3810369667060574,0.18110628892902614,0.37208456395518713,0.2954102219180074,0.029384722900017757,0.24295817176328272,0.47760830346290606,0.3212424655778831,0.4760876386391922,0.6604454523892581
