combination,cm_total: mean,cm_total: std,rep_total: mean,rep_total: std,total num matches,num possible correct matches,total correct matches,Matching distance mAP,Matching average_response mAP,Matching average_ratio mAP,Verification distance mAP,Verification average_response mAP,Verification average_ratio mAP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval average_ratio mAP
SIFT 2.5,9.786206896551723,10.343037776202523,0.09786206896551725,0.10343037776202522,58000,5676,512,0.13707843095407574,0.03065274054888224,0.1713307109992347,0.12874013395652828,0.01972471443078754,0.13247004762203013,0.28396147775382646,0.12379422201603826,0.29932361408026664
ORB 2.5,17.260344827586206,19.888988806451746,0.17260344827586208,0.1988898880645175,58000,10011,3208,0.2702478462226717,0.08278688754648489,0.28400461237841734,0.2110906568944821,0.0329960486417412,0.19784972530294223,0.4195061170041108,0.2592136017008003,0.42897078893851665
SIFT 2,9.279310344827586,9.516478605115294,0.09279310344827588,0.09516478605115293,58000,5382,514,0.11263935109342679,0.01903103706447613,0.14343237470243037,0.10338532295553357,0.010678992224234289,0.11249662730982218,0.2582196621803235,0.1131623280138978,0.27935223941962745
ORB 2,17.06551724137931,19.3378095942864,0.1706551724137931,0.19337809594286398,58000,9898,3303,0.2722155541270631,0.09181610663705364,0.28621301903344504,0.23321304934428572,0.030243058320676006,0.21042865321669754,0.41766996185545935,0.2564084251297338,0.4266099339245903
SIFT 1.5,9.089655172413794,9.393443965674482,0.09089655172413794,0.09393443965674483,58000,5272,498,0.13210857628662592,0.024082543252980045,0.15459060682270478,0.1454929581701807,0.015326004837319286,0.14853818086839793,0.3270925126475933,0.15797778328889808,0.3205921373638122
ORB 1.5,17.836206896551722,19.76357846869408,0.17836206896551723,0.19763578468694082,58000,10345,3654,0.3046860818650801,0.09225242819530509,0.322090765719341,0.2504701754244609,0.03349140669313086,0.23858466663121847,0.46327672754122173,0.25173189804485807,0.4591774637405373
SIFT 1,9.01551724137931,9.088156402781967,0.09015517241379312,0.09088156402781968,58000,5229,687,0.17203921506406067,0.0284777006283961,0.23552451542892786,0.19755029858118944,0.021747941334231052,0.22368549215586805,0.37868109751776186,0.1428913605290918,0.37239132017717425
ORB 1,18.087931034482757,19.996832314542555,0.18087931034482757,0.19996832314542556,58000,10491,3915,0.3025892272432223,0.08647419306387517,0.312424683107394,0.23367468822804577,0.028589674802458085,0.20995769550374294,0.434637401951621,0.24300709082472205,0.4197912596082018
SIFT 0.7,9.263793103448275,9.502144917131043,0.09263793103448277,0.09502144917131045,58000,5373,1135,0.22866297415165088,0.04442092822138169,0.2895673025854284,0.24475640039490282,0.025135853398737362,0.2832729818693699,0.4143983249192655,0.21069902634802015,0.4086882539177794
ORB 0.7,18.670689655172414,19.875825800416788,0.18670689655172412,0.19875825800416788,58000,10829,3963,0.30579474306216303,0.0882775759917738,0.31396944981355757,0.2442644829404874,0.025017013233032365,0.2210155499496803,0.4153640539657908,0.24731356840774205,0.40063651904975667
SIFT 0.5,9.543103448275861,10.303156732015236,0.09593083630598495,0.10461428542290566,57782,5535,1944,0.30259871998802196,0.060765438589647024,0.3581669911116996,0.32192111661993905,0.03389869910933511,0.3436166856082373,0.4725779359563447,0.27322148952331154,0.4586173279031273
ORB 0.5,18.362068965517242,19.59371668802058,0.1836206896551724,0.1959371668802058,58000,10650,4047,0.3107429928191053,0.09110717140039337,0.32205449531364555,0.2576666497531227,0.025650667036496294,0.23442822510766118,0.4304793163388345,0.2544892267607835,0.413159829328933
SIFT 0.3,10.117241379310345,12.347694716172935,0.10428714690341431,0.13167410394189802,56738,5868,3363,0.34683902141279777,0.09248413149928743,0.38193070090432085,0.3598493991952378,0.03835852741581526,0.37041391437005994,0.48530357241351263,0.33888920361727054,0.48073592722707403
ORB 0.3,17.870689655172413,19.595975207984978,0.1795283975659229,0.19767066198271266,57798,10365,4203,0.308902745704671,0.09065526353542111,0.3207529431260462,0.2722137595251103,0.025242243412934698,0.2365070405247339,0.44260164365384197,0.2875472807219733,0.4249386205982982
SIFT 0.2,10.822413793103449,13.982175144082902,0.12573460167829034,0.16674274000974762,53379,6277,4392,0.39478963690213525,0.138626014952324,0.4179640566438493,0.38799154612313164,0.05409398534906439,0.39548595649966595,0.49581728272566794,0.3794973253900457,0.4872223024508471
ORB 0.2,16.556896551724137,19.441473727920844,0.19746574129680078,0.23928102328160952,53986,9603,4078,0.32150963379891806,0.11341913953618518,0.3259088656124263,0.2895943251716883,0.030273797062670943,0.25587095557342715,0.43736089145237284,0.3146682783284129,0.4194343556998413
