combination,speed,cm_total: mean,cm_total: std,rep_total: mean,rep_total: std,total num matches,num possible correct matches,total correct matches,Matching distance mAP,Matching average_response mAP,Matching average_ratio mAP,Verification distance mAP,Verification average_response mAP,Verification average_ratio mAP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval average_ratio mAP
SIFT 5,0.2502363492821205,8.98793103448276,9.032977467384619,0.0898793103448276,0.09032977467384619,58000,5213,688,0.1716839396443777,0.023089989398378776,0.21600288738043275,0.2105287034319775,0.013318755907594935,0.24011680182796163,0.3551103353943505,0.1598444122676813,0.3816812838534126
ORB 5,0.013185827011020383,18.110344827586207,19.84851848597246,0.18110344827586208,0.1984851848597246,58000,10504,3832,0.3032777595148928,0.08420038117993474,0.31291938875726194,0.2552930033143478,0.02731928354536078,0.22371741051838726,0.45535364684628826,0.25119321183846055,0.4407372568767791
SIFT 2,0.2508234433912078,8.96896551724138,9.015832948620535,0.08968965517241381,0.09015832948620535,58000,5202,684,0.18466578010800003,0.028223132579594613,0.2385725135468691,0.16702985282835497,0.024629784779829748,0.19805807165184167,0.3781898028972285,0.15057666173733478,0.3923566074884785
ORB 2,0.013384200716538397,18.275862068965516,20.07846084175972,0.1827586206896552,0.2007846084175972,58000,10600,3929,0.29775992993550854,0.0855866630036912,0.3103833407821115,0.2388000496980622,0.026755729148278624,0.22260781937393964,0.43033360650290997,0.2383211504065484,0.4312730583367853
SIFT 1,0.2547181340513367,8.856896551724137,9.07432171054894,0.08856896551724139,0.0907432171054894,58000,5137,692,0.19591521793960118,0.02733223664735762,0.2607543147562417,0.20849707406516346,0.01677095461750566,0.23158303400239416,0.4085104346584307,0.17428708994068234,0.41504804351193925
ORB 1,0.012829957902816195,18.21034482758621,19.78341075902748,0.18210344827586208,0.1978341075902748,58000,10562,3864,0.2981781972417989,0.08875676788579799,0.3101407291373905,0.24077453332306106,0.028210869398674728,0.22301789545485592,0.44875574489939,0.2737499870065156,0.4309044542764883
SIFT 0.5,0.24884742155089712,9.212068965517242,8.919652412939506,0.09212068965517242,0.08919652412939506,58000,5343,727,0.1857965653161476,0.035859531793167435,0.23073160844046706,0.21180662575967066,0.0200705757529837,0.20900535678023827,0.37754884344572487,0.2147172158948668,0.3943984125164008
ORB 0.5,0.012856905171550656,17.936206896551724,19.743643222093834,0.1793620689655172,0.19743643222093835,58000,10403,3800,0.2934499459438303,0.09067259420517676,0.3034789096946544,0.23333114032593072,0.028320965845597734,0.2088921998437767,0.41794155766284374,0.23239970921451905,0.4017329238256116
SIFT 0.1,0.25182487068904547,9.081034482758621,9.041398215346238,0.09081034482758621,0.09041398215346237,58000,5267,704,0.18813954975442237,0.041604486316206606,0.23385126191377142,0.19872381643929482,0.03442734818125847,0.21838901876240036,0.3729722314937423,0.17281711704266703,0.3758614637088776
ORB 0.1,0.012835320113972766,18.291379310344826,19.979893207428855,0.18291379310344827,0.19979893207428853,58000,10609,3839,0.2946613855824156,0.08764704210542441,0.311449206785604,0.23264618396752307,0.027364048235265243,0.21626263225335204,0.41766300183584937,0.22710090123782514,0.41761685092260553
