combination,speed,repeatability mean,repeatability std,total num matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,size mean,size std,size normalized std,size min,size max,size unique count,size correct: avg,size correct/all ratio,total num keypoints,correct matches per sequence: avg,correct matches per sequence: std,distance correct/all ratio,response correct/all ratio,distinctiveness all: avg,distinctiveness correct: avg,distinctiveness correct/all ratio,match rank: avg,match rank: std,match rank correct: avg,match rank correct: std,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,Verification distance AP,Verification average_response AP,Verification distinctiveness AP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval distinctiveness mAP,distance-distinctiveness correlation
AKAZE+AKAZE 0.125,0,0.1235372516411863,0.16096177198011355,255767,33010,25069,0.09801499020592962,0.7594365343835201,1.1538916915014152,0.5912820738855411,0.5124242407155039,0.6000000238418579,8.072606086730957,112,1.2084126662207504,1.0472496466703853,327462,217.9913043478261,247.20551195670564,0.41616544779152775,1.011194392185328,0.40667243407415044,0.9188812473683422,2.2595120061685776,3.2386664425043103,7.345623788168159,0.052933902429295146,0.6597189070496715,0.031735915892198756,0.00019944951932665843,0.350223237257239,0.14747047798117535,0.343790281827325,0.5203834605715687,0.06215875848075581,0.4857108263037072,0.9603638022516465,0.7693070826776204,0.9646480060015525,0.6937571592627652
BRISK+BRISK 0.125,0,0.2339760278257673,0.1820586940504674,264832,65695,43700,0.16501027066215562,0.6651952203364031,2.650140575605452,1.4003902943279167,0.5284211363044329,1.0499999523162842,9.0,247675,2.9266221710173435,1.1043271432304025,338095,380.0,299.67402579991887,0.5273854191200537,1.0005592239322871,0.34555662534608506,0.8314542954953852,2.4061303835881005,3.7249388291445142,7.81982128412173,0.12038901601830664,0.8798225505862443,0.03708388714354761,0.00013729977116704807,0.5940319352893683,0.24479500920187036,0.5811616292063503,0.6504509352467733,0.09034822833431118,0.6289063147870905,0.9717275032002166,0.7803600946717947,0.9655444591523104,0.6562657040546473
ORB+ORB 0.125,0,0.35864,0.20251443365094132,271819,103010,67886,0.24974707433991,0.6590233957868168,6.738893698628359,2.342406581165783,0.3475951225707209,3.875,13.8848295211792,36,7.061699801815655,1.0479019432007066,344299,590.3130434782609,352.16002699408745,0.5754471800915595,0.9739273082898608,0.2060247836965094,0.523903220200757,2.542913579623058,3.661631453283251,7.627112252563949,0.19814100109006275,1.1706838277233889,0.03507848973029847,0.00042718675426450223,0.7616786788779201,0.2867485132008434,0.7806034077682334,0.7207434187735803,0.08662688165792401,0.7445075843281207,0.9423367863202419,0.727829532098538,0.9520435842465004,0.7356790431270538
SIFT+SIFT 0.125,0,0.06767964434515772,0.10804866679500513,257846,19340,17784,0.06897140153424912,0.9195449844881075,0.7093756138722694,0.9672756180903619,1.3635591626984376,0.2247893363237381,54.94988441467285,238935,1.1009580413482034,1.5520099927574371,340725,154.64347826086956,205.40315358081818,0.36276227666253874,0.9971726397768085,0.4893938256997474,0.9779024912827287,1.998191313273108,3.930830805984968,8.399781983923466,0.036605937921727394,0.6442402660332526,0.043235109328824184,0.00016869095816464237,0.29901508972809093,0.10928250453978472,0.29562142557248655,0.4919262140051357,0.04573033192416428,0.4193858285440886,0.9537726435441148,0.8140672457899386,0.9498878445438145,0.5205241639969599
AKAZE+AKAZE 0.25,0,0.2339263426143781,0.2034823042035587,255767,62638,44848,0.1753470932528434,0.7159871004821354,2.3077833830028305,1.1825641477710822,0.5124242407155039,1.2000000476837158,16.145212173461914,112,2.4112880712310587,1.0448502615065849,327462,389.9826086956522,298.84380048588406,0.4773540263214072,1.0078705268810597,0.40667243407415044,0.8960375682249178,2.2033398213106796,3.2386664425043103,7.345623788168159,0.062076346771316446,0.6473342564325795,0.031735915892198756,0.00015608276846236177,0.5695148615584578,0.2457462636627089,0.5677197657597768,0.6418690028644404,0.08245807906949965,0.6435040767957849,0.9769157607220637,0.7837887651557691,0.979468883163602,0.7019409694551587
BRISK+BRISK 0.25,0,0.3334728869726362,0.19297482731609494,264832,93757,61531,0.2323397474625423,0.6562816643023988,5.300281151210904,2.8007805886558335,0.5284211363044329,2.0999999046325684,18.0,247675,5.719303482006718,1.079056623383098,338095,535.0521739130435,325.1406877693104,0.5727758851076599,1.009487410122387,0.34555662534608506,0.8042115778887804,2.327293181206811,3.7249388291445142,7.81982128412173,0.14942061724984154,1.011900607421794,0.03708388714354761,0.0002437795582714404,0.740413618737733,0.3342174194175689,0.7427533697284278,0.7215643263832717,0.10762990534761596,0.7257952613228544,0.970054966640133,0.7775559623894089,0.9641777978431654,0.672423149791933
ORB+ORB 0.25,0,0.4108738079311992,0.2040909889906725,271819,118011,77284,0.2843215522093746,0.6548881036513545,13.477787397256717,4.684813162331566,0.3475951225707209,7.75,27.7696590423584,36,13.979467111889802,1.0372227057636476,344299,672.0347826086957,367.8939339215273,0.6005362354847986,0.9795750503521662,0.2060247836965094,0.4997827091821448,2.4258378056028627,3.661631453283251,7.627112252563949,0.24871901040318825,1.342903235423367,0.03507848973029847,0.000621085865120853,0.8075451146831434,0.3273077116522389,0.8279513621369015,0.7268555519177418,0.0889298097844407,0.7524780899242377,0.9228429705243975,0.6948550053038012,0.9362091365174886,0.7508464493156153
SIFT+SIFT 0.25,0,0.12550369874641723,0.14476480689405888,257846,35823,31976,0.12401200716706871,0.8926108924434023,1.4187512277445389,1.9345512361807238,1.3635591626984376,0.4495786726474762,109.8997688293457,238935,2.0678912577505204,1.4575432375399262,340725,278.0521739130435,265.5367277790813,0.42192698201039563,0.9899191572483782,0.4893938256997474,0.9729706576009318,1.9881138798793678,3.930830805984968,8.399781983923466,0.0389041781336002,0.5852302717121292,0.043235109328824184,0.00012509382036527395,0.4502407835142862,0.17828340373047113,0.4801631042032371,0.563957800315942,0.0671221300793957,0.5761251706145725,0.9806480897159658,0.8220245647222185,0.9769346733891778,0.5459021175400247
AKAZE+AKAZE 0.5,0,0.36097581288622854,0.22129539661303577,255767,97000,66829,0.26128859469751764,0.688958762886598,4.615566766005661,2.3651282955421644,0.5124242407155039,2.4000000953674316,32.29042434692383,112,4.79244427667127,1.0383219482314368,327462,581.1217391304348,328.6672996743611,0.5280629017147445,1.0143808852915364,0.40667243407415044,0.8699998395679529,2.139313527725663,3.2386664425043103,7.345623788168159,0.07932185129210373,0.7044142795737196,0.031735915892198756,0.0001197085097786889,0.7556640066492758,0.3455872435190454,0.7659284175807559,0.7399803830884387,0.0955405875246057,0.7622762360124338,0.9775296576621629,0.8004108259577962,0.9761237511355205,0.7155028622461584
BRISK+BRISK 0.5,0,0.3979217284064112,0.18888960430978305,264832,111895,71031,0.26821154543257614,0.6348004825952902,10.600562302421809,5.601561177311667,0.5284211363044329,4.199999809265137,36.0,247675,11.215946005733702,1.0580519868433114,338095,617.6608695652174,333.6151098380997,0.5978603305427128,1.0138720399232632,0.34555662534608506,0.7833265437491321,2.2668543627679187,3.7249388291445142,7.81982128412173,0.18294829018315947,1.160013795309575,0.03708388714354761,0.000366037363967845,0.8021851607268122,0.3774513727103436,0.8103054537426834,0.7381124683190213,0.11152116375810747,0.7465667280085666,0.9666147058626636,0.7674216675503397,0.9586349404309527,0.6844445555224903
