combination,speed,repeatability mean,repeatability std,total num matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,size mean,size std,size normalized std,size min,size max,size unique count,size correct: avg,size correct/all ratio,total num keypoints,correct matches per sequence: avg,correct matches per sequence: std,distance correct/all ratio,response correct/all ratio,distinctiveness all: avg,distinctiveness correct: avg,distinctiveness correct/all ratio,match rank: avg,match rank: std,match rank correct: avg,match rank correct: std,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,Verification distance AP,Verification average_response AP,Verification distinctiveness AP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval distinctiveness mAP,distance-distinctiveness correlation
AGAST+SIFT 0.030625,0,0.0933217391304348,0.15614675080923,131427,13415,1197,0.00910771759227556,0.08922847558702944,0.21437500417232513,0.0,0.0,0.21437500417232513,0.21437500417232513,1,0.21437500417232513,1.0,172500,10.408695652173913,26.055424421354907,0.3967789038352453,1.1073487826780815,0.27727900272810113,0.4533945174925337,1.6351563336266426,2.9973521422538747,7.885639091174675,0.7869674185463659,3.032912842557599,0.03773958166891126,0.003341687552213868,0.00840144826890196,0.026698497879493743,0.01799532488557426,0.004577495599202081,0.025831803116561847,0.008662509632692847,0.22579937966764563,0.20688529205412023,0.13077033170305669,-0.034356886996681324
BRISK+SIFT 0.030625,0,0.07109180388529139,0.1220514097386254,131700,10213,3063,0.02325740318906606,0.29991187701948496,0.6572671971873478,0.360142261172461,0.5479388941265022,0.25724998116493225,2.2049999237060547,125120,0.5166860384963285,0.7861126201146047,172243,26.63478260869565,56.38398330003679,0.534732900567448,1.0273976290063767,0.41111364968203506,0.8665145562174738,2.107725094721755,3.746962794229309,8.63624495473176,0.277179236043095,2.0624968329578794,0.046909643128321944,0.002285341168788769,0.02683304119350276,0.041375966581857215,0.10626190004485751,0.016887222488695203,0.021247830292768922,0.09726786711983806,0.22528677984868345,0.28695887114589674,0.41961362023658605,0.1013976369964667
FAST+SIFT 0.030625,0,0.0952695652173913,0.1610150261278164,131419,13695,1262,0.009602873252726013,0.09215041986126324,0.21437500417232513,0.0,0.0,0.21437500417232513,0.21437500417232513,1,0.21437500417232513,1.0,172500,10.97391304347826,27.630940713050126,0.38477997991383006,1.080483931739456,0.2766078413309086,0.45929915946096994,1.6604704958870127,3.000760924980406,7.862240184436081,0.595879556259905,2.378239066370048,0.03787884552461973,0.000792393026941363,0.008870881194048242,0.025637152852397163,0.01941969395468241,0.004707146921746085,0.01810789701667426,0.008945619021685686,0.23554597992723317,0.20970942439310095,0.14395444873848226,-0.03232261498956657
GFTT+SIFT 0.030625,0,0.09808695652173913,0.17067905122047008,129685,14100,1348,0.010394417241778154,0.09560283687943262,0.09187500178813934,0.0,0.0,0.09187500178813934,0.09187500178813934,1,0.09187500178813934,1.0,172500,11.721739130434782,27.517440422579426,0.33157341900875004,1.187561785808059,0.2822588352044196,0.43387685010361193,1.5371595003904357,3.2670933415583914,8.39699989791687,0.7388724035608308,2.7264071702339554,0.044623510814666305,0.001483679525222552,0.0100196393947209,0.027340708676120786,0.018630828910985123,0.0053531001787074746,0.01589016159390196,0.00910794581432089,0.17894287562055192,0.17185406363553266,0.11082694165691999,-0.051727442510570716
ORB+SIFT 0.030625,0,0.14121739130434782,0.15459458242426816,130971,20300,7247,0.05533285994609494,0.3569950738916256,1.4019181411214319,0.5395013761982207,0.38483086877430595,0.9493749737739563,3.4017832279205322,36,1.198972334380773,0.8552370493056627,172500,63.017391304347825,97.94523603912505,0.4703078358647976,1.1877228053451159,0.4321013668838852,0.8914051663431383,2.062953822089338,4.095303540478427,8.898858714933757,0.19387332689388712,1.5315371946241436,0.050598987562132075,0.0009659169311439217,0.08599003542663812,0.08364916981600168,0.2060079875802046,0.03906563024537057,0.04064206534314087,0.14552299257175166,0.2625129629899438,0.31011230834085424,0.5249054351231939,0.23662873166056403
SIFT+SIFT 0.030625,0,0.013537391304347828,0.039717982918418084,132575,1946,145,0.0010937205355459174,0.07451181911613566,0.17937390118893556,0.22309030716237135,1.2437166482061905,0.055160701274871826,10.604515552520752,130871,0.30930501751858613,1.7243590927578332,172322,1.2608695652173914,3.9849433066104982,0.4745164073138588,1.0348162453367775,0.25812713182065916,0.3854233432478998,1.493153162665919,2.934271167263813,8.000666217286781,1.1241379310344828,4.261912730090335,0.04014331510465774,0.013793103448275862,0.001163334264663658,0.017909389319557604,0.002376942846878175,0.00085880291093145,0.0012644126417854459,0.0017327167624423745,0.10602117305069546,0.10968536547549844,0.06614951700327987,-0.0635774544298151
AGAST+SIFT 0.06125,0,0.09629217391304348,0.15461700741584228,130827,13842,8994,0.0687472769382467,0.6497615951452103,0.42875000834465027,0.0,0.0,0.42875000834465027,0.42875000834465027,1,0.42875000834465027,1.0,172500,78.20869565217392,145.6465343489638,0.3440725809106087,1.0396444477645579,0.493495899269509,0.9351314939355739,1.8949123899910625,4.005870347863973,8.854487381063912,0.09428507894151657,0.9280333883407454,0.049783301612052556,0.000333555703802535,0.22637297771764306,0.10501651331618161,0.2090752021867667,0.4655617189053512,0.06932760881016899,0.21455655602804802,0.5463206733472983,0.42272814169737716,0.5401317198287541,0.3429794677278026
BRISK+SIFT 0.06125,0,0.1311150416281221,0.1558556837428675,130133,18834,7441,0.05717996203883719,0.39508335988106613,1.3097267948135058,0.7517852994178853,0.5740016180435045,0.5144999623298645,4.409999847412109,122828,1.2444271831811395,0.9501425702742347,172243,64.70434782608696,106.39646724382335,0.49397483675724124,1.00403789939929,0.4639866741749288,0.8967234741615574,1.9326491989368675,3.897996664950474,8.593519985264173,0.23168928907404918,1.6697731609520883,0.045806982087556576,0.0013439053890606102,0.12403355107285538,0.0924943964914655,0.2081755577926623,0.0687925177568656,0.03840210000720125,0.17733869685786646,0.36014978292605127,0.36586564973214325,0.5374659207874497,0.3338378230774015
FAST+SIFT 0.06125,0,0.09830260869565217,0.1594601727355357,130825,14131,9253,0.0707280718517103,0.6548015002476824,0.42875000834465027,0.0,0.0,0.42875000834465027,0.42875000834465027,1,0.42875000834465027,1.0,172500,80.4608695652174,150.32505573540476,0.34339404637516674,1.0386718644392818,0.4908911384027178,0.9346842542924949,1.9040560751082405,4.101081597553985,8.976790804456913,0.08959256457365179,0.7405682580678946,0.05180966940569463,0.00010807305738679347,0.23500084493789766,0.10625664920919338,0.20356211261156154,0.46976467210228334,0.06646876093301671,0.20454708558013995,0.5406660185656574,0.43235322027635853,0.5503761870527001,0.29275050197304103
GFTT+SIFT 0.06125,0,0.09866434782608696,0.17036185641224635,129685,14183,1352,0.010425261209854647,0.09532538955087076,0.1837500035762787,0.0,0.0,0.1837500035762787,0.1837500035762787,1,0.1837500035762787,1.0,172500,11.756521739130434,27.503546428825697,0.3325227306185191,1.1881449711709515,0.2822588352044196,0.4327043208811321,1.5330054082018576,3.2670933415583914,8.39699989791687,0.7411242603550295,2.7239070729295842,0.044623510814666305,0.0014792899408284023,0.010081261735550228,0.027004771457353804,0.018666223950013182,0.005345442800459464,0.015527658011857279,0.00910542521575225,0.20804125501559811,0.20185331108845334,0.1303572470527144,-0.029350262882686235
ORB+SIFT 0.06125,0,0.21180521739130437,0.17566661202822373,131872,30447,11970,0.0907698374181024,0.39314218149571384,2.793010812207561,1.0823695459937783,0.3875278753891708,1.8987499475479126,6.8035664558410645,36,2.516268828812498,0.9009162505975659,172500,104.08695652173913,113.2919710281046,0.4839288547460653,1.0687729338464438,0.44152649710771275,0.896260345668368,2.0299129305703265,4.5143851613686,9.234297712419966,0.22105263157894736,1.617239382235091,0.055652450861441397,0.0009189640768588137,0.2027485067131023,0.12613976010252784,0.31745276318104526,0.07687749071686804,0.04617925432628082,0.17600847522849172,0.3964677980179948,0.4074410090947002,0.6856345413337845,0.2912913978463321
SIFT+SIFT 0.06125,0,0.03300173913043478,0.072745117849162,133962,4744,2530,0.018885952732864544,0.5333052276559865,0.3592388418164773,0.46841619931836587,1.303913009377932,0.11014245077967644,21.209031105041504,129276,0.5088663130939713,1.4165125088392685,172322,22.0,54.54969812214721,0.3827396568112774,0.9687754386372766,0.4533473461237484,0.930692253225433,2.0529341600499538,3.8943282423373793,8.469617349584972,0.12529644268774703,0.8517085891414886,0.044393186127409265,0.0,0.03320309489416923,0.04320666516709678,0.10319652405328562,0.02668207729585301,0.014433877484453345,0.12567876979989434,0.3225037694989019,0.310616512332982,0.44499366280136604,0.3539849294019808
AGAST+SIFT 0.125,0,0.10754782608695652,0.15095878179033484,130868,15460,11706,0.08944891035241617,0.7571798188874515,0.875,0.0,0.0,0.875,0.875,1,0.875,1.0,172500,101.79130434782608,154.86849937381933,0.3677397608233469,1.0302314300471564,0.4817630659997141,0.9458070372415103,1.963220313036765,4.048208882232479,8.719289961840682,0.0840594566888775,0.8225053661090365,0.047467677354280646,0.00034170510849137196,0.3172610923127157,0.13932706215815346,0.3076476475555665,0.5784728549748174,0.07896866914403877,0.42608527217156683,0.7399638766811621,0.6133681582652459,0.7916866988412806,0.43737397547624046
