combination,speed,repeatability mean,repeatability std,total num matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,size mean,size std,size normalized std,size min,size max,size unique count,size correct: avg,size correct/all ratio,total num keypoints,correct matches per sequence: avg,correct matches per sequence: std,distance correct/all ratio,response correct/all ratio,distinctiveness all: avg,distinctiveness correct: avg,distinctiveness correct/all ratio,match rank: avg,match rank: std,match rank correct: avg,match rank correct: std,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,Verification distance AP,Verification average_response AP,Verification distinctiveness AP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval distinctiveness mAP,distance-distinctiveness correlation
AGAST+SIFT 0.030625,0,0.35594434782608697,0.21444463446461332,131427,51167,2011,0.015301269906488012,0.039302675552602265,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,172500,17.48695652173913,26.018844414198792,0.5298928791310819,1.0715487336115428,0.27727900272810113,0.39123065400944274,1.4109638672968043,2.9973521422538747,7.885639091174675,1.2769766285430135,4.465388414643879,0.03773958166891126,0.009448035803083043,0.01523470031990954,0.0395167188223052,0.027490045687979546,0.003977826926616969,0.019699962053341315,0.006757773710606162,0.15553362442355556,0.16832495335230604,0.08855227609862316,0.02269409192799588
BRISK+SIFT 0.030625,0,0.4065958186864015,0.19414725239875202,131700,58417,9115,0.06921032649962035,0.15603334645736686,21.46178610286843,11.759747488018268,0.5479389008749157,8.399999618530273,72.0,124939,16.543377792004758,0.7708294972613527,172243,79.26086956521739,75.93029835276238,0.7740879499267838,1.0092063853700453,0.41111364968203506,0.7935704302981773,1.9302945326965992,3.746962794229309,8.63624495473176,0.6273176083379045,3.1600391256166023,0.046909643128321944,0.005046626439934174,0.0708507876403639,0.11243205046046176,0.23168252892728491,0.0173187616458905,0.02973263616393953,0.06918350800372965,0.1139421470146505,0.1892489271108733,0.32621762672657567,0.2042976066497884
FAST+SIFT 0.030625,0,0.3514086956521739,0.21460213928396704,131419,50515,2142,0.016299013080300413,0.0424032465604276,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,172500,18.62608695652174,27.78346736102487,0.5429543009670955,1.0578258764673694,0.2766078413309086,0.38982562730333553,1.409307940901731,3.000760924980406,7.862240184436081,1.3702147525676938,4.935410064310862,0.03787884552461973,0.011671335200746966,0.016416730220367656,0.041441227591262605,0.02899515943842054,0.004134573471956413,0.01480025114754377,0.00702217580591609,0.1409654071382146,0.15883647580594867,0.08021678238111972,0.052173450945195904
GFTT+SIFT 0.030625,0,0.2716730434782609,0.2263036303275599,129685,39053,2061,0.015892354551413038,0.05277443474252938,3.0,0.0,0.0,3.0,3.0,1,3.0,1.0,172500,17.921739130434784,27.408392185475172,0.4449267963008873,1.1281654604437776,0.2822588352044196,0.38879157137726483,1.377429234750761,3.2670933415583914,8.39699989791687,1.1620572537603104,4.168100066529314,0.044623510814666305,0.008248423095584668,0.016440128569647543,0.04662342896714797,0.026817784938429193,0.005209397974346822,0.012250780271088063,0.007732357735784963,0.2066393287114058,0.19019226941591424,0.10785869173009337,0.04677293683820425
ORB+SIFT 0.030625,0,0.4338643478260869,0.22058938213688162,130971,62368,18293,0.1396721411610204,0.2933074653668548,45.77691897875121,17.61637122930324,0.3848308628520943,31.0,111.0786361694336,36,42.84445263676963,0.9359400674531465,172500,159.0695652173913,127.07729395506263,0.6433726915392248,1.0471210559861301,0.4321013668838852,0.7424236978525575,1.7181702136389272,4.095303540478427,8.898858714933757,0.8301536106707483,3.568275634779249,0.050598987562132075,0.005849231946646258,0.18471749474251847,0.18822191454022966,0.3349715258102792,0.04209549886108184,0.03905363662531507,0.08815069381175193,0.14201901452352442,0.17239013746737816,0.40112956576974856,0.24790396061992984
SIFT+SIFT 0.030625,0,0.26274782608695657,0.1805097826316039,132575,37770,901,0.006796153120874977,0.023854911305268733,5.8571069815283385,7.284581471580237,1.2437166496281782,1.801165759563446,346.2698974609375,130873,8.107762536714132,1.3842606191561337,172322,7.834782608695652,9.388179834500132,0.7327288440707103,0.9904856533995393,0.25812713182065916,0.3295316587367495,1.276625422567747,2.934271167263813,8.000666217286781,1.8168701442841289,5.964078892909713,0.04014331510465774,0.022197558268590455,0.007488797920678274,0.03888388528008926,0.017686564740535343,0.0021318434170686062,0.0027347153795151255,0.003489677445271597,0.055649316534027486,0.08620974171957953,0.0438324167718591,-0.003328472502531713
AGAST+SIFT 0.06125,0,0.35594434782608697,0.21444463446461332,130827,51167,14638,0.11188821879275684,0.2860828268219751,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,172500,127.28695652173913,145.24490653150607,0.4630541641980803,1.0114542905879287,0.493495899269509,0.8691158708377347,1.7611410188498675,4.005870347863973,8.854487381063912,0.290955048503894,1.6614263886980662,0.049783301612052556,0.0009564148107664981,0.30828312271844205,0.16468540493874664,0.29592435298659997,0.351682570835902,0.05921689072245625,0.12599680725526455,0.46062957191683257,0.30908649579434233,0.42104200192285113,0.41083484397820724
BRISK+SIFT 0.06125,0,0.4065958186864015,0.19414725239875202,130133,58417,14980,0.11511299977715107,0.2564322029546194,21.38329467954597,12.274045910261396,0.5740016257645293,8.399999618530273,72.0,122670,19.714471175641975,0.921956670900659,172243,130.2608695652174,117.65809619080133,0.6234585797181432,1.001391717681424,0.4639866741749288,0.8296344807449838,1.788056698439148,3.897996664950474,8.593519985264173,0.4759679572763685,2.42420962116682,0.045806982087556576,0.0022029372496662216,0.20378380364444265,0.16870401437215504,0.3315910097332131,0.05770010042174832,0.04132130294945548,0.11323832008394723,0.2880585821088859,0.28273069364844144,0.46469949762704194,0.4136325460339743
FAST+SIFT 0.06125,0,0.3514086956521739,0.21460213928396704,130825,50515,15000,0.11465698452130708,0.29694150252400275,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,172500,130.43478260869566,148.72531613594018,0.4642401840863957,1.013433602633009,0.4908911384027178,0.8678260346393529,1.7678584247072002,4.101081597553985,8.976790804456913,0.3048,1.7469679333061612,0.05180966940569463,0.0008666666666666666,0.30495230763752923,0.16710888813828761,0.2908318769246541,0.34995213043034057,0.05591245490004207,0.11868832033193188,0.4429378830381193,0.30088583611696373,0.416029273324184,0.45148999993381717
GFTT+SIFT 0.06125,0,0.2716730434782609,0.2263036303275599,129685,39053,2061,0.015892354551413038,0.05277443474252938,3.0,0.0,0.0,3.0,3.0,1,3.0,1.0,172500,17.921739130434784,27.408392185475172,0.4449267963008873,1.1281654604437776,0.2822588352044196,0.38879157137726483,1.377429234750761,3.2670933415583914,8.39699989791687,1.1620572537603104,4.168100066529314,0.044623510814666305,0.008248423095584668,0.016440128569647543,0.04662342896714797,0.026817784938429193,0.0052113509965072335,0.012435098346960743,0.007716243973277919,0.20619135547668632,0.19368210771079333,0.10366978804509663,0.04677293683820425
