combination,speed,repeatability mean,repeatability std,total num matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,size mean,size std,size normalized std,size min,size max,size correct: avg,size correct/all ratio,total num keypoints,correct matches per sequence: avg,distance correct/all ratio,response correct/all ratio,distinctiveness correct/all ratio,match rank: avg,match rank correct: avg,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,Verification distance AP,Verification average_response AP,Verification distinctiveness AP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval distinctiveness mAP,distance-distinctiveness correlation,distance-average response correlation
GFTT+ORB 0.06125 5,0,0.43074086956521734,0.2074676816720481,135491,61919,42051,0.3103600977186677,0.679129184902857,0.1837500035762787,0.0,0.0,0.1837500035762787,0.1837500035762787,0.1837500035762787,1.0,172453,365.6608695652174,0.5548732171983994,1.0338180764189047,2.354966740015098,4.266512166859791,0.21947159401678915,0.04660826180336701,0.0007372000665858124,0.7164146361014301,0.4133581166144647,0.8038485036487927,0.6406407438283903,0.11257374772947673,0.7508059497725065,0.8717294180173489,0.7618573794267753,0.9136933751425708,0.5961454536420969,0.0001935440388731526
GFTT+SIFT 0.06125 5,0,0.42966956521739136,0.21080858499716423,129685,61765,2849,0.021968616262482168,0.04612644701691897,0.1837500035762787,0.0,0.0,0.1837500035762787,0.1837500035762787,0.1837500035762787,1.0,172500,24.77391304347826,0.5130410947983494,1.0801716955232183,1.2736605747977705,3.2670933415583914,1.4264654264654264,0.044623510814666305,0.011232011232011231,0.022664817944863677,0.047202301073411335,0.03514430248990085,0.005074795019986399,0.011263074828642484,0.00680329313154622,0.09054312385173328,0.10885947127513504,0.06101332694953981,0.07233469023546785,0.0035195149031478946
ORB+ORB 0.06125 5,0,0.3882295652173913,0.21519677425007339,137170,55808,35413,0.2581686957789604,0.6345506020642202,2.8102726083068794,0.9720958938256204,0.34590804143064413,1.8987499475479126,6.8035664558410645,2.913425248290564,1.036705563609301,172500,307.9391304347826,0.5819926073465961,0.9694283006583353,2.480958372982871,3.69039148501859,0.2893852540027673,0.035102427644528686,0.0009883376161296698,0.7950352776802022,0.31706079474503696,0.7991609789085948,0.7275884563289725,0.08440456769756055,0.7191787697683822,0.8970050863920788,0.6365717648638294,0.9233492850839792,0.7447800588361181,0.011431099602978764
ORB+SIFT 0.06125 5,0,0.3882295652173913,0.21519677425007339,131872,55808,23035,0.17467695947585538,0.41275444380733944,2.793010812207561,1.0823695459937783,0.3875278753891708,1.8987499475479126,6.8035664558410645,2.4591086699022293,0.880450823589394,172500,200.30434782608697,0.6089058326517781,1.0554163160587355,1.904000353649218,4.5143851613686,0.4424571304536575,0.055652450861441397,0.0026481441285001084,0.30260922690445036,0.23697877553096172,0.48446345177940847,0.08786670607581115,0.055974035064593836,0.17636926577685644,0.33949960112669925,0.3668658399710459,0.6536150120165284,0.4038122454793109,-0.09991399843647102
SIFT+SIFT 0.06125 5,0,0.3452660869565218,0.17299798585756726,133962,49632,8798,0.06567534076827757,0.1772646679561573,0.3592388418164773,0.46841619931836587,1.303913009377932,0.11014245077967644,21.209031105041504,0.4182805086211451,1.1643521243586186,172322,76.50434782608696,0.662210461457503,0.9536882063302815,1.8490233831909075,3.8943282423373793,0.486019549897704,0.044393186127409265,0.00272789270288702,0.08410837815044041,0.10397618951992076,0.21104250142216013,0.027647027438627163,0.020272323848744833,0.08155443988124998,0.13795124012571366,0.15792985251568833,0.2713280871294138,0.4876958927345101,-0.06198126869800293
GFTT+ORB 0.125 5,0,0.43074086956521734,0.2074676816720481,135491,61919,42051,0.3103600977186677,0.679129184902857,0.375,0.0,0.0,0.375,0.375,0.375,1.0,172453,365.6608695652174,0.5548732171983994,1.0338180764189047,2.354966740015098,4.266512166859791,0.21947159401678915,0.04660826180336701,0.0007372000665858124,0.7164146361014301,0.4133581166144647,0.8038485036487927,0.6400956864515492,0.11197370365397508,0.7504569689259483,0.8695236781774318,0.7578956247346652,0.9141357814438379,0.5961454536420969,0.0001935440388731526
GFTT+SIFT 0.125 5,0,0.42966956521739136,0.21080858499716423,131432,61765,17890,0.13611601436484266,0.2896462397798106,0.375,0.0,0.0,0.375,0.375,0.375,1.0,172500,155.56521739130434,0.4771330117886283,1.0367470512873527,1.7716757945145143,4.269774484143892,0.4319172722191168,0.05297035729502709,0.002403577417551705,0.34726288909139397,0.18983159838949903,0.33047678435565975,0.37961780970901393,0.05353065834424464,0.1501303883242598,0.4534829067077116,0.28114334111178446,0.40173906260260106,0.4451760246631558,0.06038778366940465
ORB+ORB 0.125 5,0,0.3882295652173913,0.21519677425007339,137170,55808,35413,0.2581686957789604,0.6345506020642202,5.735250232090554,1.9838691387473775,0.345908035127569,3.875,13.8848295211792,5.945765817383845,1.036705562403431,172500,307.9391304347826,0.5819926073465961,0.9694283006583353,2.480958372982871,3.69039148501859,0.2893852540027673,0.035102427644528686,0.0009883376161296698,0.7950352776802022,0.31706079474503696,0.7991609789085948,0.7283415528882743,0.08444829627378679,0.7195063791215313,0.8983211609574109,0.6388448955922207,0.9232594102668178,0.7447800588361181,0.011431099602978764
ORB+SIFT 0.125 5,0,0.3882295652173913,0.21519677425007339,132363,55808,30201,0.22816799256589831,0.5411589736238532,5.677741523083073,2.218446520700651,0.3907269310660714,3.875,13.8848295211792,5.200754265624013,0.9159899661652702,172500,262.61739130434785,0.5889242796478272,1.030275189687555,1.9592078621688396,4.757537982668873,0.34641237045130957,0.05790137727310502,0.0019204662097281548,0.5190693737143484,0.29456459835977533,0.6044966386851751,0.24125091304842333,0.07485646984733325,0.2978913340344004,0.5737141191759737,0.5136459136996516,0.772387776310224,0.5319019603422036,-0.01725462612038316
SIFT+SIFT 0.125 5,0,0.3452660869565218,0.17299798585756726,128764,49632,12475,0.09688266906899444,0.2513499355254674,0.7383780086442014,0.9715786180551459,1.3158282162806336,0.22478051483631134,43.28373718261719,0.8239576458393453,1.1159022021149896,172322,108.47826086956522,0.5683528502580306,0.9694862066856897,1.7717790952252641,3.7353452828430305,0.4193186372745491,0.04235655928675717,0.0017635270541082164,0.28120829086548876,0.1412266087637928,0.2915011621793859,0.28174172113487717,0.028994097138461246,0.1207554183443619,0.4092293721365996,0.21898376650289691,0.37058881003317884,0.5315405165204811,-0.04814163631820928
