combination,speed,repeatability mean,repeatability std,total num matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,size mean,size std,size normalized std,size min,size max,size correct: avg,size correct/all ratio,total num keypoints,correct matches per sequence: avg,distance correct/all ratio,response correct/all ratio,distinctiveness correct/all ratio,match rank: avg,match rank correct: avg,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,distance-distinctiveness correlation,distance-average response correlation
AKAZE+AKAZE 8,0,0.5472319019897662,0.20123384985622564,257990,147902,40043,0.15521144230396527,0.27074008465064703,74.29266043078637,40.66353974508302,0.5473426245512717,38.400001525878906,516.6467895507812,70.89902294642786,0.9543206897601932,327462,348.2,0.7015455907242548,0.9287311886311074,2.4002519064286876,3.048362339625567,0.3894563344404765,0.026365362998565837,0.001423469769997253,0.4148943766621946,0.19964259481821808,0.4699727712618837,0.8268914582169717,0.002378587279851046
AKAZE+BRISK 8,0,0.5480990706521682,0.20194490758421565,246013,142446,84387,0.34301845837415096,0.592413967398172,67.73898180791946,33.44470907818774,0.493729137721962,38.400001525878906,516.6467895507812,66.71027047934143,0.9848135991843657,315419,733.8,0.6113362958977498,1.0512171417667293,2.0484181407349142,3.279818546174389,0.16385225212414234,0.0312463162515802,0.00048585682628840934,0.8774341880558035,0.434723869066912,0.8842419041324976,0.7565826736687891,0.008268343461987552
AKAZE+SIFT 8,0,0.5472319019897662,0.20123384985622564,239106,147902,81601,0.3412754175972163,0.5517234384930562,74.47651681364529,41.141800207699035,0.5524130553882348,38.400001525878906,516.6467895507812,71.1063028767688,0.9547479651161799,327462,709.5739130434782,0.6135314710019888,1.0231556687897927,1.911364243145905,5.036464998787149,0.34553498118895604,0.06414728195862923,0.0015808629796203479,0.7804996919753628,0.4032408150036239,0.7622429863290278,0.516670955298909,-0.009835778942984754
BRISK+BRISK 8,0,0.49871396743344615,0.21101558944702462,221499,121818,53517,0.2416128289518237,0.4393193124168842,128.60016239093875,65.88992228983604,0.5123626678598866,67.19999694824219,576.0,122.16820103717157,0.9499848115726767,298712,465.3652173913043,0.5959118394790119,1.0077153351661197,2.277639501291348,4.86016189689344,0.6572117271147486,0.052907688070826506,0.0020367359904329466,0.7469661005850159,0.3204772691025677,0.664934003951925,0.5685867356210131,0.03635793628090121
GFTT+BRISK 8,0,0.5206882912032356,0.2005849647733119,271097,149651,79214,0.2921979955514078,0.5293248959245177,24.0,0.0,0.0,24.0,24.0,24.0,1.0,342875,688.8173913043478,0.6177477424554229,1.0300726179049455,2.2155426342642577,3.941223989937181,0.3468452546267074,0.039978310346481145,0.0014643876082510666,0.7940509592143804,0.37079715209621505,0.794664040288465,0.7133241523489267,0.03758113044901321
GFTT+SIFT 8,0,0.5163373913043477,0.20076435915330734,233264,148447,112046,0.48033987241923315,0.7547879041004534,24.0,0.0,0.0,24.0,24.0,24.0,1.0,343877,974.3130434782609,0.6338031557480923,1.0517260500185546,1.7053232017627231,6.272356643116812,0.6768113096406833,0.09180156389327114,0.003328989879156775,0.8486669724112254,0.5426885043936314,0.8031981166898798,0.4167132985059376,0.00821931531855869
GFTT+FREAK 8,0,0.5243152627133013,0.20242529277089918,260547,149106,88021,0.3378315620598203,0.590325003688651,24.0,0.0,0.0,24.0,24.0,24.0,1.0,338605,765.4,0.6171253044185863,1.02923183497068,2.02393770335499,4.061827616514487,0.399836402676634,0.04373107347234856,0.0017836652616989128,0.7974419117303694,0.4192527431315944,0.7963076873488663,0.642823567623325,0.044053424909468696
ORB+SIFT 8,0,0.48011096034400375,0.20941075901716377,249870,137897,50401,0.20170888862208347,0.36549743649245453,426.0184914206535,177.56778403568765,0.41680769171203896,248.0,888.6290893554688,406.5317412699757,0.9542584405533786,344299,438.2695652173913,0.5666984706560593,1.0188621995653029,1.8792982690298308,5.387597550726378,1.0131545009027598,0.06684275823428183,0.006507807384774112,0.43794910089659145,0.24877650233519008,0.3745320334666182,0.5042193693978397,0.13293517411698716
SIFT+BRISK 8,0,0.4542783944791502,0.17857636140874206,262264,127054,67174,0.2561312265503462,0.5287043304421742,33.841291156110536,37.06748326195328,1.095333008748403,14.381578922271729,2203.8712158203125,34.96838884939693,1.0333053986648166,335010,584.1217391304348,0.5729930588181367,1.0104846111794406,2.3814315584397736,4.213487173230027,0.24269806770476673,0.04259829789830095,0.0010122964242117486,0.8264318268140717,0.3493116115102992,0.7810678647745044,0.5729427980293464,0.016377431571627774
SIFT+SIFT 8,0,0.45168919601198193,0.17528948241755726,253792,128747,81956,0.3229258605472198,0.6365662889232371,45.515889513635,66.38739140070601,1.4585541908572086,14.380997657775879,3516.7926025390625,44.19132680752493,0.9708988944242586,340725,712.6608695652174,0.5875020229110803,1.0103134145665635,2.040563246663491,5.254066322027487,0.23999463126555712,0.06739771151178918,0.0012567719263995314,0.8354192296707369,0.40774820525399397,0.8276878861606494,0.5800484125817811,0.00670223832815347
SIFT+FREAK 8,0,0.45192425154896404,0.1820111017879833,250831,123850,71031,0.28318270070286367,0.5735244247073072,29.479964076819922,34.815480660660995,1.1809878929953102,14.374025344848633,3516.7926025390625,30.20646632405941,1.024643932582358,328982,617.6608695652174,0.5675655129941497,1.020574974796813,2.252179355706254,4.497900977151947,0.31349692387830663,0.0485426442505113,0.001562697976939646,0.8099450040086422,0.37199915384345594,0.7737860137301882,0.5289086703494605,0.03648864945413688
SIFT SIG 4.8+SIFT SIG 4.8 8,0,0.41918861566315363,0.16455238709384995,214679,100302,62638,0.291775161986035,0.6244940280353333,104.08783562159981,108.47121304162083,1.0421122928903654,43.16720199584961,3663.6339111328125,98.58908838799312,0.947172047523432,289497,544.6782608695652,0.5871197660993417,1.042802615097585,1.9351005303281616,4.291817085043251,0.1617229158019094,0.05070826676107118,0.0005428014943005843,0.7910650522468947,0.39856007755153366,0.7605781809146447,0.5103235679561842,0.04088774147394411
AKAZE+AKAZE 12,0,0.5472319019897662,0.20123384985622564,257084,147902,32757,0.12741749778282585,0.22147773525712972,111.81932461744923,63.40158376112602,0.5670002388051654,57.60000228881836,774.97021484375,107.14277747393811,0.9581776480987496,327462,284.8434782608696,0.6992267857189653,0.9123505675441606,2.4637669898798213,3.5335921333105134,0.5483102848246176,0.032366852857431815,0.002747504350215221,0.2930467616953382,0.16628735087227609,0.39220603973806595,0.7132200717354683,0.050359471546258756
AKAZE+SIFT 12,0,0.5472319019897662,0.20123384985622564,240156,147902,72054,0.30002998051266677,0.48717393950048005,111.07835074304516,62.807281793536866,0.5654322500594865,57.60000228881836,774.97021484375,105.76872965829386,0.9521993165253784,327462,626.5565217391304,0.6015526295847082,1.011147783426407,1.9082278704897777,4.70942220889755,0.3705970522108419,0.05771248688352571,0.0015543897632331308,0.7014928580917394,0.35326963134909417,0.6720604236141626,0.48292779577760164,-0.010621803264558059
