combination,speed,repeatability mean,repeatability std,total num matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,size mean,size std,size normalized std,size min,size max,size unique count,size correct: avg,size correct/all ratio,total num keypoints,correct matches per sequence: avg,correct matches per sequence: std,distance correct/all ratio,response correct/all ratio,distinctiveness all: avg,distinctiveness correct: avg,distinctiveness correct/all ratio,match rank: avg,match rank: std,match rank correct: avg,match rank correct: std,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,Verification distance AP,Verification average_response AP,Verification distinctiveness AP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval distinctiveness mAP,distance-distinctiveness correlation
GFTT+SIFT 0.125,0,0.10034434782608696,0.16262883759001356,263620,28849,26437,0.10028450041726727,0.9163922492980693,0.375,0.0,0.0,0.375,0.375,1,0.375,1.0,343877,229.88695652173914,355.5274285319816,0.34924773170728995,1.1016024265597275,0.5072027806395484,0.9741893106544086,1.920709719741721,3.9661899704119565,8.55014432339374,0.044672239664107126,0.7030225646751039,0.045884227296866704,0.00018912887241366268,0.31755578180791644,0.1472143666899132,0.2856343019838521,0.6881661930213063,0.08298646672005093,0.4992375492148057,0.9555647385927435,0.8895065164009596,0.9611155861281696,0.5087229786873848
SIFT+SIFT 0.125,0,0.06767964434515772,0.10804866679500513,257846,19340,17784,0.06897140153424912,0.9195449844881075,0.7093756138722694,0.9672756180903619,1.3635591626984376,0.2247893363237381,54.94988441467285,238935,1.1009580413482034,1.5520099927574371,340725,154.64347826086956,205.40315358081818,0.36276227666253874,0.9971726397768085,0.4893938256997474,0.9779024912827287,1.998191313273108,3.930830805984968,8.399781983923466,0.036605937921727394,0.6442402660332526,0.043235109328824184,0.00016869095816464237,0.29901508972809093,0.10928250453978472,0.29562142557248655,0.49233727794064897,0.045710871942503006,0.4192508354402224,0.9550392915128961,0.822992839907203,0.9513322133637167,0.5205241639969599
GFTT+SIFT 0.25,0,0.10979478260869566,0.1589040934944741,263620,31566,28637,0.10862984599044079,0.9072102895520496,0.75,0.0,0.0,0.75,0.75,1,0.75,1.0,343877,249.01739130434783,345.12918772436745,0.3645948233729501,1.0982225822847431,0.5072027806395484,0.9721767851567218,1.9167418284475346,3.9661899704119565,8.55014432339374,0.04784020672556483,0.7075007301217028,0.045884227296866704,0.00017459929461884974,0.35728518279874816,0.15988682943692006,0.32042566920819826,0.6859654209359143,0.08561361904554707,0.5161794520840126,0.9552742650861658,0.8956421419524309,0.9593912278046639,0.5503663904698645
SIFT+SIFT 0.25,0,0.12550369874641723,0.14476480689405888,257846,35823,31976,0.12401200716706871,0.8926108924434023,1.4187512277445389,1.9345512361807238,1.3635591626984376,0.4495786726474762,109.8997688293457,238935,2.0678912577505204,1.4575432375399262,340725,278.0521739130435,265.5367277790813,0.42192698201039563,0.9899191572483782,0.4893938256997474,0.9729706576009318,1.9881138798793678,3.930830805984968,8.399781983923466,0.0389041781336002,0.5852302717121292,0.043235109328824184,0.00012509382036527395,0.4502407835142862,0.17828340373047113,0.4801631042032371,0.5640927297919546,0.06721156744403006,0.5764966616343034,0.9748079909538646,0.8188888383438182,0.9803070832080326,0.5459021175400247
GFTT+SIFT 0.5,0,0.13945739130434784,0.1588313773955531,263620,40094,35447,0.1344624838783097,0.8840973711777323,1.5,0.0,0.0,1.5,1.5,1,1.5,1.0,343877,308.23478260869564,323.2798580429302,0.40499558935319463,1.0912214681039647,0.5072027806395484,0.9671770718810351,1.9068844036333756,3.9661899704119565,8.55014432339374,0.05309335063616103,0.6926068868950036,0.045884227296866704,0.00014105566056365842,0.4609877851606763,0.19891246170102034,0.4220637896714349,0.6813915410677597,0.09429990566939299,0.5584744633927092,0.9602588342672584,0.8911261100212581,0.9628411940206265,0.5486188049312697
SIFT+SIFT 0.5,0,0.2004722269681783,0.17150491693385747,257846,57164,49104,0.19043925443869597,0.8590021691973969,2.8375024554890778,3.8691024723614476,1.3635591626984376,0.8991573452949524,219.7995376586914,238935,3.7691148304616875,1.3283212577210035,340725,426.9913043478261,309.0300251530986,0.4719620183256013,0.9930345282702089,0.4893938256997474,0.9657646385460973,1.9733895031577546,3.930830805984968,8.399781983923466,0.05042359074617139,0.64677608625026,0.043235109328824184,0.00016291951775822744,0.6111213545968668,0.2579421328054888,0.6629845683892405,0.647603544094722,0.08502397279780802,0.7099270762011206,0.9772410353796777,0.8172570322707706,0.9735057154980827,0.5570188546103634
GFTT+SIFT 1,0,0.28450434782608697,0.21989759568897532,263620,81795,66966,0.2540247325696078,0.8187052998349532,3.0,0.0,0.0,3.0,3.0,1,3.0,1.0,343877,582.3130434782609,439.7247432540812,0.5064014507472009,1.0704930208280585,0.5072027806395484,0.9486280630429502,1.8703132144638372,3.9661899704119565,8.55014432339374,0.08369919063405311,0.8263847269513084,0.045884227296866704,0.00020906131469701042,0.6721039572530978,0.3542438395654699,0.6811409060358711,0.7497180053733348,0.12305290979672413,0.7156737508785842,0.9621192231318547,0.8866298312764593,0.9659366266808284,0.5793219784893272
SIFT+SIFT 1,0,0.27175587383890226,0.17722924196958437,257846,77518,63097,0.24470808156806775,0.813965788591037,5.6750049109781555,7.738204944722895,1.3635591626984376,1.7983146905899048,439.5990753173828,238935,7.00609696722107,1.2345534633226396,340725,548.6695652173913,326.76314309055675,0.5086534499354445,1.0002068960028885,0.4893938256997474,0.95797570489562,1.957474031320037,3.930830805984968,8.399781983923466,0.06323597001442224,0.7373370456024384,0.043235109328824184,0.0001901833684644278,0.711608083170338,0.324190326389285,0.7828390420658068,0.6920684322621067,0.09224348179834957,0.7805072568977979,0.9759650399819507,0.8118911783514055,0.9685028569357168,0.5740242217218201
GFTT+SIFT 2,0,0.3670539130434783,0.22240802819688685,263620,105528,83515,0.316800697974357,0.7914013342430445,6.0,0.0,0.0,6.0,6.0,1,6.0,1.0,343877,726.2173913043479,444.2256532460618,0.557923911590424,1.0631522560136155,0.5072027806395484,0.9314302073756217,1.83640595621568,3.9661899704119565,8.55014432339374,0.12215769622223553,1.0285498102305282,0.045884227296866704,0.0003711908040471772,0.765666314704114,0.4254654660184648,0.7915980685623275,0.7623787404567369,0.12817452165084622,0.744160224382068,0.9616605955416812,0.8744645170013163,0.9576484311080504,0.6087325091879763
SIFT+SIFT 2,0,0.3209597081028329,0.16928769756544698,257846,91589,71062,0.27559861312566414,0.775879199467185,11.350009821956311,15.47640988944579,1.3635591626984376,3.5966293811798096,879.1981506347656,238935,13.439001512507,1.1840519720528864,340725,617.9304347826087,328.5659677457185,0.528834430553471,1.0061515942319306,0.4893938256997474,0.9513833295220143,1.9440035398111182,3.930830805984968,8.399781983923466,0.07922659086431567,0.8564623896619686,0.043235109328824184,0.00023922771664180574,0.7639887621596119,0.3590607339196259,0.843546578480958,0.7077262613055558,0.0940101862674602,0.8024210023987819,0.9696927080706148,0.7956520474217004,0.9623401650408875,0.5854507153891237
