combination,speed,cm_total: mean,cm_total: std,rep_total: mean,rep_total: std,total num matches,num possible correct matches,total correct matches,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,Verification distance mAP,Verification average_response mAP,Verification distinctiveness mAP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval distinctiveness mAP,distance-distinctiveness correlation
AGAST+ORB,31.614452786726858,67.1895652173913,77.1409138315556,0.22396521739130434,0.25713637943851864,145049,38634,3000,0.05765493473628519,0.03367017680631061,0.06370292982785307,0.031441252442882844,0.002142915743506241,0.04051746028995753,0.13631193521749815,0.06824097167159507,0.19083335998700574,0.47126173489484463
AGAST+SIFT,7.92893369811845,67.91826086956522,77.7510090331378,0.22639420289855075,0.2591700301104594,137366,39053,33467,0.4264116457910298,0.2902675148247676,0.4295791072101414,0.3897815486613079,0.02743419689330316,0.3250502626297271,0.5259191790537353,0.48046886032529673,0.5247571468596277,0.5364621223546773
AGAST+SIFT_HIGH_SIG,5.48841979492166,67.91826086956522,77.7510090331378,0.22639420289855075,0.2591700301104594,143147,39053,28874,0.4019412214100911,0.24741167800335936,0.3983924813124887,0.3277620884400042,0.023965698689820996,0.23901347805652914,0.5151437006830983,0.433756013963772,0.48895506806493805,0.5845307130974675
AKAZE+AKAZE,7.042517561626968,68.81565217391304,82.15572127136458,0.2377466414928626,0.2831371106376287,145658,39569,25540,0.4132864201394518,0.2224223467522365,0.4154969249439369,0.33770583151162,0.013999655946938763,0.3050173695944844,0.5025151368602411,0.38314857858136336,0.5014947267597151,0.7140541501579718
AKAZE+ORB,11.903854718493546,68.77913043478262,82.07704704372452,0.2377617383451674,0.28309499459762555,143168,39548,6140,0.1325598713867459,0.06056883105095519,0.141242091244932,0.0940254013844231,0.003132367037722706,0.08465271879252556,0.3460466454948424,0.15087580370489195,0.3909830349429028,0.7160852072291842
AKAZE+SIFT,8.789748016051847,68.81565217391304,82.15572127136458,0.2377466414928626,0.2831371106376287,136977,39569,27615,0.4213831535238702,0.24693716868037474,0.4221906733063556,0.3515963312772032,0.014372651730034375,0.29786969236890404,0.5348143473873389,0.4285378827137996,0.521807401687953,0.6499986402177188
AKAZE+SIFT_HIGH_SIG,5.7546332854365225,68.81565217391304,82.15572127136458,0.2377466414928626,0.2831371106376287,141444,39569,24699,0.38466322029443156,0.22023573318708659,0.3874788505210971,0.26292527302156443,0.013866188277001645,0.2149184601608669,0.48852327478305224,0.3741463597569039,0.47212160706854045,0.5896091182873581
FAST+ORB,50.50939234690536,64.94608695652174,75.22866392534456,0.2164869565217391,0.2507622130844819,145027,37344,3038,0.07009133139330724,0.03706038528818063,0.07309080532923529,0.041381467572188614,0.0020747875535605574,0.046673756894272854,0.1586537441726075,0.07876243375079126,0.23401532957810262,0.4120647547583075
FAST+SIFT,9.479409396353558,65.63826086956522,75.81461093851259,0.2187942028985507,0.252715369795042,135192,37742,32701,0.4281827643465679,0.287898027221592,0.4254706790440614,0.39212384072228884,0.027320748053016087,0.2903101165244598,0.5267124095365342,0.4771727204001942,0.5194637245098761,0.4776912141233753
FAST+SIFT_HIGH_SIG,6.359160637236307,65.63826086956522,75.81461093851259,0.2187942028985507,0.252715369795042,140789,37742,28317,0.4043761750641278,0.2460844481959449,0.38638320983994845,0.3320041974697807,0.02336384113261095,0.1942828994957176,0.49995487400151056,0.4300641562805121,0.4787439527983713,0.48839865493814044
