combination,speed,repeatability mean,repeatability std,total num matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,size mean,size std,size normalized std,size min,size max,size unique count,size correct: avg,size correct/all ratio,total num keypoints,correct matches per sequence: avg,correct matches per sequence: std,distance correct/all ratio,response correct/all ratio,distinctiveness all: avg,distinctiveness correct: avg,distinctiveness correct/all ratio,match rank: avg,match rank: std,match rank correct: avg,match rank correct: std,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,Verification distance AP,Verification average_response AP,Verification distinctiveness AP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval distinctiveness mAP,distance-distinctiveness correlation
AGAST+BRISK,0,0.38184960439629784,0.21319938102787106,270212,109681,57497,0.21278477639779136,0.5242202386922074,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,344030,499.97391304347826,344.0277911137429,0.6093222281178271,1.0071432473695885,0.3220820938657325,0.7780753460990669,2.4157671628383848,3.898790579248886,8.119083415580885,0.18703584534845297,1.3016223935280602,0.04094562787737036,0.0005217663530271145,0.6707189197560269,0.30487483453050507,0.7131092731875225,0.6133298238313025,0.08174272269485984,0.6967078742376958,0.9107645898301575,0.665945364048687,0.9063199913510273,0.7143193175517439
AGAST+ORB,0,0.38324807378721226,0.2127689692735335,268713,109826,77680,0.28908165961453297,0.7073006391929051,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,343586,675.4782608695652,406.0332894432498,0.5682351553706629,1.0272995515129462,0.22191559722707216,0.5450615046658994,2.456165819242406,4.178368742859482,8.413201966333032,0.20871524201853758,1.5664113239841198,0.045003405119960704,0.0009654994850669413,0.6675115402358857,0.4059815708821828,0.7827751527758683,0.5946669722996548,0.11998783845453859,0.7771394099109272,0.8979566561270959,0.8080962099133375,0.9340801949506508,0.5648796712782422
AGAST+SIFT,0,0.3818256938907945,0.2141315185233558,257452,109723,92358,0.35873871634324067,0.8417378307191746,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,344076,803.1130434782609,422.56261208750533,0.563774283804418,1.0425836974185934,0.5021860463719874,0.9271682431470711,1.846264446902382,4.575062535929027,9.44140666337153,0.12035773836592391,1.18016893338306,0.05819337196836692,0.0005955087810476623,0.828850817730254,0.47968284160484537,0.8317109504731345,0.8147063654901157,0.15033998962546044,0.7754382052656029,0.9714292418365037,0.9170549482804968,0.9725262316368166,0.5586065568387322
AGAST+SIFT_SIGMA_2,0,0.3818256938907945,0.2141315185233558,259619,109723,91624,0.3529171593758546,0.8350482578857669,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,344076,796.7304347826087,420.7055010799614,0.5604277995985952,1.0432873545086472,0.5068613449558088,0.9291487545878957,1.8331418717063626,4.334813707779477,9.143867676816923,0.11757836374748974,1.1220989268172963,0.05330503545580254,0.0004802235222212521,0.8257683303152078,0.47325366031883564,0.8290892180114571,0.8148604044997991,0.14950944297150115,0.7694128486496195,0.9718027687528679,0.911102012150238,0.9717277598468211,0.5720212496402478
AGAST+BRIEF,0,0.38316303396564266,0.21299449704292994,266712,109853,80760,0.30279852425087733,0.7351642649722812,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,343689,702.2608695652174,399.0977233919471,0.5387271613536875,1.0303387143749883,0.23420031061281968,0.5400912728803827,2.3061082688880905,3.885145775218213,8.188351278985435,0.16120604259534424,1.24152530117006,0.04207909655358589,0.0005200594353640416,0.7246620626612897,0.42136356773511974,0.7971688682560246,0.6851764200979849,0.12615746318503496,0.7666489019736562,0.9345305227739623,0.8456271393848673,0.9497604508077235,0.6093875081333061
AGAST+FREAK,0,0.3829034468447729,0.21308841472479856,264905,109881,57232,0.21604726222608106,0.5208543788280049,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,343837,497.6695652173913,329.1587623212459,0.605356026616507,1.005705685936267,0.3025602328067428,0.7141817195034801,2.3604612968408714,4.100688926218833,8.361468041256426,0.261619373776908,1.6246963389984916,0.044117702572620376,0.0009085826111266425,0.6226135064632099,0.3046663862048972,0.6825063629332978,0.5534966598185839,0.08065054521072121,0.6156816327284453,0.8919574048150842,0.660996006356701,0.8980833568853328,0.6027306176594277
AGAST+LATCH,0,0.38326812383798603,0.21296830731146474,275055,109905,80119,0.2912835614695243,0.7289841226513807,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,343725,696.6869565217391,431.2682079879898,0.6014880686372778,1.0292585815884645,0.23648028796332665,0.6178273640534943,2.612595617903285,3.726901892348803,7.658864973527562,0.1461575905840063,1.206820104951134,0.03562560215229681,0.0005491830901533969,0.7257644146042869,0.41126180735372564,0.8034561528892155,0.7009145443581405,0.125077448247344,0.8348933333689097,0.9241523440683402,0.8332308204692159,0.9536341845841609,0.8102046935326311
AGAST+LUCID,0,0.3818256938907945,0.2141315185233558,213675,109723,3222,0.01507897507897508,0.029364855135204104,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,344076,28.017391304347825,29.376708493130387,0.38592503817412865,1.039163729860223,0.24585127067980955,0.4986503104812276,2.0282600496731096,4.913139113139113,10.039690942916161,0.7091868404717566,3.188497136278742,0.06784134784134783,0.004345127250155183,0.057183665262238934,0.041670781857707936,0.06665672316857887,0.014906868371695364,0.007822528789709881,0.005317445558063433,0.16228676368543413,0.11990438356268415,0.21828317461288546,0.33953436652779506
AKAZE+AKAZE,0,0.4557342096549859,0.21796703927910255,241877,116594,77052,0.3185586062337469,0.6608573339966036,9.249202233045075,4.720034207218207,0.5103179807610554,4.800000190734863,64.58084869384766,111,9.579217423446105,1.0356803951395903,312021,670.0173913043478,342.0182802795322,0.5613359995236512,1.026428484380396,0.4083719155221935,0.8490240395112848,2.079046102927084,3.1820470735125705,7.251784417511828,0.10155479416497949,0.8208903383615647,0.030842122235681772,0.0001557389814670612,0.8530763658311648,0.4129772077917157,0.867089831995659,0.7802458848847044,0.09988763816793533,0.7867082325487833,0.9803495211376321,0.7964850395024926,0.9779624262550995,0.7276712163977115
AKAZE+BRISK,0,0.4557342096549859,0.21796703927910255,233154,116594,67866,0.2910779999485319,0.5820711185824313,9.215631930194116,4.725649298917809,0.5127862456653333,4.800000190734863,64.58084869384766,112,9.667116963487121,1.0489912180426564,312021,590.1391304347826,341.1883551444867,0.6289493581421275,0.9964591231186041,0.3239574466262514,0.7121875333567412,2.198398403165554,3.7801281556396202,7.94632484535829,0.2572127427577874,1.6259039653049157,0.03838235672559767,0.000957769722688828,0.7619968750285296,0.3715535165507583,0.8012263346472202,0.6385640284810357,0.07554847761514996,0.5899993132046715,0.931694218620217,0.6789881131857283,0.9462979400050919,0.6692051037265704
