combination,speed,repeatability mean,repeatability std,total num matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,size mean,size std,size normalized std,size min,size max,size unique count,size correct: avg,size correct/all ratio,total num keypoints,correct matches per sequence: avg,correct matches per sequence: std,distance correct/all ratio,response correct/all ratio,distinctiveness all: avg,distinctiveness correct: avg,distinctiveness correct/all ratio,match rank: avg,match rank: std,match rank correct: avg,match rank correct: std,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,Verification distance AP,Verification average_response AP,Verification distinctiveness AP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval distinctiveness mAP,distance-distinctiveness correlation
AGAST+BRISK,7.8558620101576295,0.22485913043478262,0.25422084062472045,271207,64647,33624,0.12397910083441799,0.5201169427815676,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,345000,292.38260869565215,403.0407160920312,0.5603034685573974,0.9899684967445409,0.319617228576009,0.8218949601708491,2.571497674992799,3.908483188118301,8.128096435404053,0.15013085891030217,1.1568381173265527,0.041024014866872904,0.0003866285986200333,0.3547883951771774,0.17437084885809906,0.3781722154715335,0.5330292139736488,0.06517611391793438,0.6082330023227137,0.4998249993122814,0.36675712195762317,0.49500633569658636,0.7261740655768449
AGAST+ORB,31.58129204512331,0.22521043478260866,0.252813474934598,270542,64748,46874,0.17325960479334077,0.7239451411626614,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,345000,407.6,508.46075988991134,0.49157303468424585,1.0015219878265718,0.21965637019531195,0.5922217158219912,2.6961281172742915,4.178589645969942,8.398679298182103,0.18400392541707555,1.552579799927422,0.044880277369133074,0.0010453556342535308,0.3666323248021237,0.23684651080094754,0.41548556130067293,0.547160126557841,0.09116973288023347,0.611166357569258,0.4727866180721463,0.4325044354553373,0.5190135536313512,0.5311424826794647
AGAST+SIFT,8.06115829293225,0.22568,0.25570819347196455,258704,64883,54839,0.21197584884655823,0.8451982799808887,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,345000,476.8608695652174,569.7838321901833,0.4923450366973417,1.02426446655668,0.5037790873027379,0.9327698615848128,1.8515454195983323,4.529292164017565,9.37682755270846,0.11156293878444173,1.2026965237101628,0.05718891087884223,0.0006564671128211674,0.4168014773362163,0.27411304106326545,0.4204666435107732,0.6640405876231247,0.11760969088543444,0.5120479886975459,0.5471388721612355,0.49171107729245006,0.5426386940734023,0.5385544161570356
AGAST+SIFT_SIGMA_5,6.152469328647569,0.22568,0.25570819347196455,264970,64883,48531,0.18315658376419972,0.7479771280612796,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,345000,422.0086956521739,521.5379013389932,0.48386160748760826,1.0237159130113853,0.5161329731924351,0.9267892504955667,1.7956404621140576,3.7214099709401065,8.203696373566153,0.1487502833240609,1.3337183798199002,0.04097067592557648,0.0007211885186787826,0.3986365545197353,0.2405763345193429,0.398530663036501,0.6225545636058128,0.10581977018992259,0.45101883271842236,0.5164458989237676,0.45759744586777085,0.50347282458271,0.5928112085991474
AGAST+SIFT_SIGMA_10,4.235602530173345,0.22568,0.25570819347196455,260776,64883,38009,0.14575344356842654,0.5858083010958186,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,345000,330.5130434782609,435.6664932125588,0.46734966323636695,1.0174800952749534,0.4947266752918566,0.8998575235052784,1.8188983300211594,3.851025401110532,8.33379418540066,0.200794548659528,1.5494644952932923,0.04207825873546645,0.0009734536557131206,0.34962358483282535,0.19262713150117813,0.3440080229352477,0.5400206484474755,0.08882248239865788,0.3435670317740861,0.48635019540611063,0.38960172043228164,0.4577621119104838,0.5073000113963044
AGAST+BRIEF,20.761789910056965,0.22519999999999996,0.25333078564699113,268516,64745,47201,0.17578468322185642,0.7290292686693953,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,345000,410.44347826086954,509.2891754166756,0.46688435096040654,1.0041759977874005,0.23376758631835418,0.5814161284338492,2.487154603384804,3.867311445128037,8.11819873359181,0.16533548018050465,1.380277366708565,0.0408765213246138,0.0007415097137772505,0.3828359553208243,0.2392305002937583,0.4115477314962587,0.5838695490820303,0.09322943444157672,0.568616529786769,0.4976632908622892,0.44133141504532036,0.5056025125242047,0.6142715345448753
AGAST+DAISY,5.102454215460395,0.22568,0.25570819347196455,239699,64883,39956,0.16669239337669328,0.615816161398209,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,345000,347.44347826086954,457.8199416574228,0.5987227650018251,1.0272003005245953,0.02008976637733112,0.020178265980982973,1.0044052082035018,5.180559785397519,10.090508886600393,0.5114375813394734,3.210027886571863,0.06878209754734062,0.00548102913204525,0.3291412640636218,0.22223807305538057,0.3732034890344025,0.32078866130833744,0.09252023105659762,0.31090068384205305,0.5011375860921056,0.4507761841006242,0.5320869726111724,0.4825653837524432
AGAST+FREAK,10.121805855576358,0.22495652173913042,0.25335738605014574,266322,64675,32196,0.1208912519431365,0.4978121376111326,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,345000,279.96521739130435,386.8080060867133,0.5546322929902371,0.981922649185412,0.29970355723029213,0.7628803532674802,2.54544977816624,4.136413814855701,8.426472860003802,0.22620822462417692,1.5269306236561648,0.045140844541569976,0.0008075537333830289,0.3328647623407839,0.16885797123768082,0.35835184975379303,0.4851924076656851,0.06039523845991912,0.5447099787900572,0.4602559506898986,0.35339460375150983,0.459313585503127,0.6222995140891259
AGAST+LATCH,2.404772483861358,0.22512000000000004,0.25332026376660555,276534,64722,51069,0.18467530213282995,0.7890516362287939,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,345000,444.0782608695652,540.8873248866739,0.5181356973081186,1.013334961546203,0.23552222647474622,0.682782760003478,2.8990162424296253,3.705681760651493,7.619491234939173,0.12510524976012846,1.2820807621521733,0.03487455430435317,0.0007245099766981926,0.3968369289818477,0.2515542206413804,0.4272648419271333,0.6438572732942589,0.10242935203654761,0.6810741623165728,0.48761166965123653,0.4421722470444645,0.49958675231059163,0.7636876703585755
AKAZE+AKAZE,7.095240893047947,0.23722678185554752,0.2853946491817277,255767,61891,39573,0.15472285322187773,0.6393982970060267,9.231133532011322,4.730256591084329,0.5124242407155039,4.800000190734863,64.58084869384766,112,8.90962257413691,0.9651710207896472,327462,344.11304347826086,448.8482413276354,0.48567964130265484,0.9364762575630465,0.40667243407415044,0.8714614915665969,2.142907702978706,3.2386664425043103,7.345623788168159,0.09296742728628105,0.8820886170792644,0.031735915892198756,0.00020215803704546028,0.40619567497655784,0.20669204530025076,0.4108435708257982,0.5587419213030816,0.06596075435276659,0.5021398259322785,0.5208990260068713,0.3917406351568344,0.528692590433023,0.7372559717596917
