combination,speed,repeatability mean,repeatability std,total num keypoints,total num matches,num dropped keypoints,num dropped matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,correct matches per sequence: avg,size mean,size std,size normalized std,size min,size max,size correct: avg,size correct/all ratio,distance correct/all ratio,response correct/all ratio,distinctiveness correct/all ratio,match rank: avg,match rank correct: avg,ratio rank >50 / all,ratio rank >50 correct / rank >50,Matching distance mAP illumination,Matching distance mAP viewpoint,Matching average_response mAP illumination,Matching average_response mAP viewpoint,Matching distinctiveness mAP illumination,Matching distinctiveness mAP viewpoint,distance-distinctiveness correlation,distance-average response correlation
GFTT+SIFT,0,0.5163373913043477,0.20076435915330734,343877,271956,1123,15544,148447,97825,0.35970892350233125,0.6589894036255364,850.6521739130435,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.5970893690664906,1.0614979938664002,1.8235290900172274,6.2562804277162485,0.27492972144134936,0.0348879965876833,0.0003680040889343215,0.8713256603230979,0.7403579799508228,0.55006833571456,0.39327494941789304,0.8934807410997995,0.7758746070642277,0.6593700810404951,0.051954029543159294
GFTT2+SIFT,0,0.5212549598532072,0.19966801146949328,342702,263925,2298,23575,149140,114438,0.4336004546746235,0.7673192973045461,995.1130434782609,6.0,0.0,0.0,6.0,6.0,6.0,1.0,0.6298629720799579,1.0400411938566854,1.8313875777379598,7.933143885573553,0.42416854541323684,0.04893056739604054,0.0006728534228141002,0.9229669560822769,0.815577968595812,0.6246955689736874,0.4471152393972427,0.9188909820133919,0.8105834326645466,0.5787199011038652,0.06214108087765346
SIFT+SIFT,0,0.45168919601198193,0.17528948241755726,340725,262352,4275,25148,128747,84305,0.32134308105141185,0.6548113742456135,733.0869565217391,5.689811486899653,7.876279792931328,1.384277811499704,1.797132134437561,439.5990753173828,6.119509729729041,1.0755206466538891,0.5295262097167903,1.013896554092647,1.9699554724334938,7.333052540098799,0.26841824328331654,0.04216091358175276,0.0005693612478500682,0.8196545117588132,0.8408182589460769,0.4193053682065602,0.41284896209902794,0.7618756859792717,0.7691357087596669,0.3382119285643182,0.06435789108988432
SIFT_OPTIMAL+SIFT_OPTIMAL,0,0.43232890212504776,0.16441690364500017,303617,234453,41383,53047,110058,85369,0.364119887568084,0.7756728270548257,742.3391304347826,11.338015310727286,11.632745368708322,1.0259948544700044,4.494612216949463,497.1507873535156,11.347693831802014,1.0008536345038774,0.534261556529208,1.040659701612392,1.83123559573263,5.838005911632608,0.16657100352587004,0.030052931717657695,0.00031627405732760134,0.8893275346914411,0.8960299914586021,0.4942851620761655,0.446719287308443,0.8220975493336785,0.8143092020587813,0.3698549309097927,0.06079308470172582
SHI_TOMASI_SIFT_DOWN_16_nan+SHI_TOMASI_SIFT_DOWN_4,0,0.5678119284883105,0.17498762938497955,344559,276801,441,10699,163061,119741,0.4325887550984281,0.7343325503952508,1041.2260869565218,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.6500231544144235,1.0622695564603064,1.0204454854766252,4.657093001831641,0.18535004718517467,0.02294789397437148,0.00019208124201401357,0.9224370453219102,0.808244285660716,0.6314196294627364,0.4522955095577454,0.9311897017460613,0.8236397229592762,0.9442642218337545,0.03613963237131535
SHI_TOMASI_SIFT_DOWN_24_nan+SHI_TOMASI_SIFT_DOWN_4,0,0.5678119284883105,0.17498762938497955,344559,274741,441,12759,163061,126052,0.4588030181152431,0.7730358577464875,1096.104347826087,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.652868682592279,1.0705039055284726,1.0194799067386175,5.453510761044038,0.18775584679338686,0.029500511390727995,0.0001586646780693682,0.9416435731798226,0.8419263555517431,0.6683001828306482,0.46913408180958127,0.9471959301190107,0.8545862956152147,0.9225738168017391,0.02128669929017113
SHI_TOMASI_SIFT_DOWN_simple+SHI_TOMASI_SIFT_DOWN_5,0,0.563544347826087,0.1750313095923645,345000,277422,0,10078,162019,116026,0.418229268046514,0.7161258864701053,1008.9217391304347,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.6414051339329331,1.0681231572796162,1.0210018685376894,4.679791076410667,0.18556185682519435,0.02313443057868518,0.00014651888369848138,0.912707953025481,0.7921157095094449,0.6135456179070794,0.443666246206873,0.9245971663037678,0.8118637074652878,0.9432599056893368,0.04763134639452317
SHI_TOMASI_SIFT_DOWN_simple+SHI_TOMASI_SIFT_DOWN_6,0,0.5600173913043478,0.17564396709196534,344922,277791,78,9709,161005,116507,0.4194052363107516,0.7236234899537282,1013.104347826087,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.6459631948985032,1.0828059196463033,1.0207831289286247,4.5385379655928375,0.17502810989897602,0.02145857857165999,0.00015449715467740136,0.9101732384636677,0.799048372201373,0.6146025756607391,0.4427254497154366,0.9204035051257363,0.8151467440633657,0.9474540115816977,0.046405006458250166
SHI_TOMASI_SIFT_DOWN_simple+SHI_TOMASI_SIFT_DOWN_7,0,0.5337434104827153,0.17253444166721252,343608,276732,1392,10768,152997,111929,0.4044671378806932,0.7315764361392707,973.295652173913,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.644644326524598,1.113482836046118,1.0211304661917426,4.528612520416865,0.14904090986250212,0.02188398884118931,0.00012507929133647223,0.8902336312789563,0.7991250623408024,0.6017316534058678,0.43577530613802296,0.9049859676748421,0.8144146907800422,0.9448872331282027,0.05242121979811906
SHI_TOMASI_SIFT_DOWN_sobel+SHI_TOMASI_SIFT_DOWN_5,0,0.5636208695652174,0.17768157815776842,345000,277296,0,10204,162041,115972,0.4182245686919393,0.7156954104208194,1008.4521739130435,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.638875034015813,1.0655916707673643,1.0210466119336905,4.679515752120477,0.1913392887938468,0.022697767007097108,0.0001724554202738592,0.9127130539032992,0.7881119342980403,0.6142244271772108,0.44222643964362385,0.9236631649433791,0.8089375866502818,0.9426061731040575,0.043225918126016
SHI_TOMASI_SIFT_DOWN_sobel+SHI_TOMASI_SIFT_DOWN_6,0,0.5593369068571926,0.1760865163634674,344708,277619,292,9881,160806,116207,0.4185844628789816,0.7226533835802147,1010.4956521739131,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.6431294153165459,1.0776811824919064,1.0209057878879677,4.548550351380849,0.17570370115397524,0.021986967750766338,0.00015489600454361612,0.909784994027748,0.7993380288855272,0.612070995199805,0.4398578356794512,0.9200744336158354,0.8164273105718038,0.9478173419982038,0.041991603595208656
SHI_TOMASI_SIFT_DOWN_sobel+SHI_TOMASI_SIFT_DOWN_7,0,0.5346701796640636,0.17539935027115575,341367,274606,3633,12894,152470,111512,0.406079983685717,0.7313701055945432,969.6695652173913,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.6412489989796347,1.1032996994086521,1.0212130621834652,4.460867570264306,0.15041430518688573,0.021164868939498774,0.00011657938159121888,0.891274780024132,0.7970649731644989,0.6023174146710696,0.4315642024762158,0.9028476319710593,0.8125756927790289,0.9451473084803059,0.04827268835505008
SHI_TOMASI_SIFT_DOWN_NO_BLUR+SHI_TOMASI_SIFT_DOWN_0,0,0.5267617391304349,0.18792493579253286,172500,139818,0,3932,75722,61056,0.43668197227824745,0.8063178468608859,530.9217391304347,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.6363061746198824,1.0524915500658303,1.021630217956165,5.299117424079875,0.127145571278826,0.02878742365074597,0.0001310272536687631,0.9465246265130851,0.8279719406434248,0.653259492211432,0.4677946757325937,0.9472852197192924,0.8405143639879978,0.9383203499427297,0.03134770233421293
