combination,speed,repeatability mean,repeatability std,total num keypoints,total num matches,num dropped keypoints,num dropped matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,correct matches per sequence: avg,size mean,size std,size normalized std,size min,size max,size correct: avg,size correct/all ratio,distance correct/all ratio,response correct/all ratio,distinctiveness correct/all ratio,match rank: avg,match rank correct: avg,ratio rank >50 / all,ratio rank >50 correct / rank >50,Matching distance mAP illumination,Matching distance mAP viewpoint,Matching average_response mAP illumination,Matching average_response mAP viewpoint,Matching distinctiveness mAP illumination,Matching distinctiveness mAP viewpoint,distance-distinctiveness correlation,distance-average response correlation
SHI_TOMASI_SIFT_DOWN_16_4+SHI_TOMASI_SIFT_DOWN_1,0,0.49712695652173916,0.20365360929208634,172422,138773,78,4977,71462,47251,0.34049130594568106,0.6612045562676667,410.8782608695652,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.5605809229248251,1.0182220479821658,1.0237350792012965,6.564807275190419,0.2178154959683393,0.03772347646876554,0.000253962879092506,0.8604543249852769,0.7007377265156967,0.5273759359790918,0.38234313337239334,0.869521576260368,0.7102650744913918,0.8732646369174347,0.05451639199360141
SHI_TOMASI_SIFT_DOWN_16_4+SHI_TOMASI_SIFT_DOWN_2,0,0.5076869565217391,0.19542563425896778,172189,138980,311,4770,72980,48917,0.3519715066916103,0.670279528637983,425.3652173913043,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.5635841900149074,1.0121578221807916,1.0232279638841382,6.041408835803713,0.21051986017131058,0.033709886314577636,0.0002657562810474886,0.8672756235697633,0.7092423974253502,0.5338812122694033,0.39788211364692305,0.8747406260014926,0.7243560236863804,0.8875850664588859,0.0795663034152604
SHI_TOMASI_SIFT_DOWN_16_4+SHI_TOMASI_SIFT_DOWN_3,0,0.5160347826086957,0.19090535467174316,172013,138960,487,4790,74180,50393,0.3626439263097294,0.6793340523052036,438.2,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.5721348724968105,1.0126486706206934,1.0228153751554374,5.711197466896949,0.23592562459071698,0.0315342544617156,0.00031750441529577523,0.8760746503369387,0.7175864025664618,0.5495524562425524,0.4101750975285917,0.8781424625634701,0.7384723763087622,0.8938252678288854,0.08041811308777642
SHI_TOMASI_SIFT_DOWN_16_4+SHI_TOMASI_SIFT_DOWN_4,0,0.5205982608695653,0.19041864266724595,171721,138675,779,5075,74836,51725,0.37299441139354605,0.6911780426532684,449.7826086956522,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.5787107992519404,1.0205783860207684,1.0224443897646587,5.418027762754642,0.22327694538424359,0.028231476473769605,0.0002899951667472209,0.8810730602722993,0.7360204614473592,0.5639196631115071,0.4138483995143382,0.8884530947915444,0.7568931047691208,0.900436380106696,0.08455163751431895
SHI_TOMASI_SIFT_DOWN_16_4+SHI_TOMASI_SIFT_DOWN_5,0,0.5215682829771554,0.19136223195912958,171428,138448,1072,5302,74937,53408,0.3857621634115336,0.712705339151554,464.4173913043478,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.582520596349468,1.0372159256706794,1.0220529300805397,5.184018548480296,0.17738915518274415,0.027223217381255056,7.489514679448772e-05,0.901309587869782,0.7501878389980267,0.5773654361114866,0.42428029136763085,0.9029864674046226,0.7691908967986454,0.9070742443461403,0.0883611220537582
SHI_TOMASI_SIFT_DOWN_16_4+SHI_TOMASI_SIFT_DOWN_6,0,0.5205722615436468,0.18989261919677977,170801,137939,1699,5811,74707,54299,0.3936450170002682,0.7268261340972064,472.16521739130434,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.5908676076929216,1.042945779985478,1.021613956338294,4.903377579944758,0.16243393064328993,0.024967558123518366,7.366618169763716e-05,0.9047809087884462,0.7698842517781409,0.5833882173437643,0.42706948499254216,0.8952394459118723,0.7834603738319389,0.9207134296145913,0.07123559151193619
SHI_TOMASI_SIFT_DOWN_16_4+SHI_TOMASI_SIFT_DOWN_7,0,0.5070432405401812,0.1907583043248484,169341,136587,3159,7163,72078,53581,0.3922847708786341,0.7433752323871362,465.9217391304348,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.5915029428962231,1.056154065058431,1.0216535557263176,4.602656182506388,0.1341893581680073,0.022308125956350164,1.8663332151322296e-05,0.9072318588363588,0.7752622634412999,0.5865949606170038,0.42613628628374056,0.8967871994396704,0.7822658914959604,0.9243815050657403,0.07323409289241771
SHI_TOMASI_SIFT_DOWN_16_4+SHI_TOMASI_SIFT_DOWN_8,0,0.5055852557330512,0.19552056013260952,165707,133065,6793,10685,69937,52578,0.39513019952654715,0.7517908975220555,457.2,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.5996008470049488,1.071776478585894,1.0214253824988206,4.499507759365724,0.12670698771349234,0.02262803892834329,7.607744684088402e-05,0.9097662436903889,0.7856430748869064,0.6003179775908041,0.4184753834789914,0.8930674579469661,0.7883254505486549,0.9186192086836256,0.06701642124384748
SHI_TOMASI_SIFT_DOWN_16_6+SHI_TOMASI_SIFT_DOWN_1,0,0.49712695652173916,0.20365360929208634,172422,139118,78,4632,71462,49164,0.353397834931497,0.6879740281548236,427.5130434782609,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.5677672648619418,1.0251645766746844,1.025326715960552,6.4020903118216195,0.19660727361484012,0.036522951738811656,0.000183060776177691,0.8835973694798349,0.7341510964322533,0.5424048343996144,0.3980074608956455,0.8940279631741441,0.7452471783547414,0.8988221252503158,0.056282155889272566
SHI_TOMASI_SIFT_DOWN_16_6+SHI_TOMASI_SIFT_DOWN_2,0,0.5076869565217391,0.19542563425896778,172189,139326,311,4424,72980,51041,0.36634224767810747,0.6993833927103316,443.83478260869566,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.5738104825757241,1.019917953487674,1.0246532399441044,5.825998019034494,0.1738798221037989,0.03135093234572155,0.00013714464841989773,0.8893346078295074,0.7428800927723117,0.5525191397855946,0.41602090048417134,0.8990386365886092,0.75826855259587,0.9107570495885454,0.051076848675605496
