combination,speed,repeatability mean,repeatability std,total num keypoints,total num matches,num dropped keypoints,num dropped matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,correct matches per sequence: avg,size mean,size std,size normalized std,size min,size max,size correct: avg,size correct/all ratio,distance correct/all ratio,response correct/all ratio,distinctiveness correct/all ratio,match rank: avg,match rank correct: avg,ratio rank >50 / all,ratio rank >50 correct / rank >50,Matching distance mAP illumination,Matching distance mAP viewpoint,Matching average_response mAP illumination,Matching average_response mAP viewpoint,Matching distinctiveness mAP illumination,Matching distinctiveness mAP viewpoint,distance-distinctiveness correlation,distance-average response correlation
SHI_TOMASI_SIFT_DOWN_16_8+SHI_TOMASI_SIFT_DOWN_1,0,0.5428452173913044,0.19308746936285828,345000,274529,0,12971,156068,105181,0.38313256522990286,0.673943409283133,914.6173913043478,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.6149435960790204,1.038391142184594,1.0221560148772266,6.0538340211780906,0.2372862018805678,0.03368678718823877,0.0003707894011275801,0.8949230127280271,0.7527676480631594,0.5754968144484908,0.41296412245195907,0.9070760443708892,0.7664105200113116,0.9005478853523928,0.05686959399373849
SHI_TOMASI_SIFT_DOWN_16_8+SHI_TOMASI_SIFT_DOWN_2,0,0.5588347826086957,0.18342787851430079,345000,276010,0,11490,160665,110690,0.40103619434078475,0.6889490554881275,962.5217391304348,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.6248974811443464,1.0316299331974803,1.0214064517563433,5.452715481323141,0.22150149064956184,0.029354008912720553,0.00028006143283042733,0.9043685833751954,0.7684282569319628,0.5910900610981026,0.4373410933970653,0.916493490568148,0.7891887625547431,0.9148796302417178,0.05492427350346275
SHI_TOMASI_SIFT_DOWN_16_8+SHI_TOMASI_SIFT_DOWN_3,0,0.5701503920171063,0.17878342014605597,344919,276454,81,11046,163895,115886,0.41918727889630825,0.7070746514536747,1007.704347826087,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.6376546640886961,1.0450162591996084,1.0206398203265428,4.996755337235128,0.21468512158500597,0.025649836862552178,0.00025887510139274803,0.9074260630331759,0.7820640177711484,0.6088589543315438,0.4492606985623903,0.9236439205783648,0.8034466287888145,0.92464600312913,0.050023285742504656
SHI_TOMASI_SIFT_DOWN_16_8+SHI_TOMASI_SIFT_DOWN_4,0,0.5678119284883105,0.17498762938497955,344559,276648,441,10852,163061,118907,0.42981333680344697,0.7292179000496747,1033.9739130434782,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.6445586470758841,1.062138324354073,1.0201139849983627,4.749956623579422,0.1883320578267049,0.02395462826407565,0.00014296887483495504,0.9178626607128851,0.8037344129096442,0.6233120713278046,0.45296065296220234,0.9265862045320308,0.8199072962856552,0.939348183744965,0.04506938590835375
SHI_TOMASI_SIFT_DOWN_16_8+SHI_TOMASI_SIFT_DOWN_5,0,0.5479016119850165,0.17548177951056493,340372,272933,4628,14567,156092,115467,0.42305987183667787,0.7397368218742792,1004.0608695652174,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.6460073443907169,1.0918163901449969,1.020272013176028,4.5117849435575765,0.14892566707370938,0.02187350008976562,7.79443477357167e-05,0.9074211883431591,0.8114671046203364,0.6209375184905469,0.4477673791657058,0.9152991447341307,0.8244971906472512,0.9442089488404746,0.04038158993698146
SHI_TOMASI_SIFT_DOWN_16_8+SHI_TOMASI_SIFT_DOWN_6,0,0.510630382672376,0.18041146763912383,318827,254182,26173,33318,135317,101287,0.39848218992690276,0.7485164465662112,880.7565217391304,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.6401998797089977,1.1390286997162655,1.0210175453512413,4.387108449850894,0.1222071934206759,0.02119740973003596,7.898348257920563e-05,0.8900812214576571,0.8016387071738427,0.6036728087966046,0.4285428642732959,0.897157045344472,0.8121147861798129,0.941827362386445,0.03160946403370757
SHI_TOMASI_SIFT_DOWN_16_8+SHI_TOMASI_SIFT_DOWN_7,0,0.4663726872541148,0.1863589707963388,285552,226673,59448,60827,108319,83003,0.3661794743970389,0.766282923586813,721.7652173913043,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.6296521680142387,1.2010090640804068,1.0221202168677115,4.4682427990982605,0.11094779706757588,0.021722922447755137,6.023878654988374e-05,0.879117475721581,0.7714379834002184,0.5952388919609838,0.39840593581900535,0.8801949346993305,0.7812498908144939,0.9411694231855865,0.02862346573109866
SHI_TOMASI_SIFT_DOWN_16_8+SHI_TOMASI_SIFT_DOWN_8,0,0.3826704123567008,0.18300969624130461,240712,189032,104288,98468,74892,58813,0.31112721655592707,0.785304171340063,511.4173913043478,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.6106244476133825,1.2774576678145537,1.023503634859007,4.33356257141648,0.09622022341999217,0.02038808244106818,0.0001020182612687671,0.8370492690170925,0.7171304716315663,0.5303675877001595,0.3541315888107784,0.8218405802927531,0.7180730941695133,0.9244787217766965,0.028970231399073173
SHI_TOMASI_SIFT_DOWN_16_8+SHI_TOMASI_SIFT_DOWN_9,0,0.24160264933972145,0.15106342720187613,172823,134661,172177,152839,36037,29536,0.21933596215682344,0.8196020756444765,256.83478260869566,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.5648516344654041,1.3652699788858464,1.0286967669492046,4.1725666674092725,0.0768215059588299,0.019478542413913457,3.385698808234019e-05,0.7112045717038781,0.6393284257362074,0.351295984190057,0.298705618556348,0.5740181578096759,0.6126096111359031,0.8167362625942314,0.030473503440258936
SHI_TOMASI_SIFT_DOWN_16_8+SHI_TOMASI_SIFT_DOWN_10,0,0.20708359093272674,0.14545702219533832,112730,87572,232270,199928,19259,16380,0.18704608779061802,0.8505114491925853,142.43478260869566,3.0,0.0,0.0,3.0,3.0,3.0,1.0,0.5331940693068414,1.3685983043669194,1.0499153174842577,4.0014388160599275,0.06404151404151404,0.017688302197049286,6.105006105006105e-05,0.7124328227607223,0.5623691876750473,0.3604097710408129,0.24081522958027685,0.49745938263746925,0.5174804437593986,0.725102449317952,0.03715675287526119
